Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
HKK26_RS00005,-0.010458179005976393,0.03843109761915663,-0.02656932817659598,0.058634749294176156,-0.01301294706376147,-0.007484430611547691,-0.01711566988146388,-0.012589662185588001,-0.006726473629766087,0.006119095647640923,0.016565137065790717,0.010183682987386158,0.0038907443384053344,-0.03727492884938216,0.00576856543815396,0.05060929084093471,-0.013915369477093036,0.006028778935087111,0.008999220467609082,-0.003786454001490881,0.016453267544395984,0.009106092482749628,0.05470744702381479,0.01427766650051425,-0.006985115902331707,-0.0084722871515001,0.004223780004937904,-0.03507541460382783
HKK26_RS00010,0.016105687357265835,0.009272619791370434,-0.024304863579846975,0.021970583610379176,0.022551443872222906,0.009803037958040816,-0.018150956560217767,-0.011638850566844374,-0.00950623375710262,-0.0013190505487192105,-0.0050619236241409874,0.004354155379668743,-0.011226361762769012,0.006639526851769323,0.027524201548046467,-0.024749138898859168,-0.024021345422824573,0.01690111122730255,0.1332114825359443,0.002466577888109353,-0.007870870615394047,0.004355133588689743,-0.012563009138824575,0.011455119149054244,0.02384209230238489,-0.009267651893251478,-0.004269562769660418,-0.015233203730716044
HKK26_RS00015,0.010243103573689303,-0.006954256868518542,-0.0339666412207851,-0.02062068635396381,0.022695414348940002,0.02001221747601003,-0.005018055636546076,-0.0018694096288478079,-0.0027903986980449824,-0.036108451800070565,0.007978993338938443,-0.031117617456763683,-0.0043952084592811455,0.034312696906349596,0.06710390073296316,0.012352217848315795,0.007896225901799413,0.01800135635420215,0.007494400569364311,-0.023863031652269807,-0.011574894823608985,0.014193784931864472,-0.002076159907549816,-0.0009047859371804883,-0.03182401858834214,0.010617135548823995,-0.018239244505005737,-0.015257820368020559
HKK26_RS00020,0.03186667677986472,-0.015390330757190067,0.005152683332048697,-0.031453905670845675,-0.0033026255700660937,0.00902294503940614,0.005757478681149034,-0.02218336959439011,-0.017350021610950204,-0.04414469482894484,0.02546164890162666,0.010433265976743442,-0.007789841792521311,0.04445152948185511,0.021087720976100677,-0.007231963838945792,-0.007975786536832029,0.07319471009711716,0.026132697334326424,-0.02447548987307549,-0.039033194367009263,-0.011993868381951173,-4.682591024801586e-05,0.0010455826209612366,-0.019660231656740423,0.005400847522461031,-0.010646176811337015,-0.006086828839217046
HKK26_RS00025,-0.016841577615754055,-0.007333257775037666,-0.02303509295736208,-0.025336164916530974,0.0031061589617742357,0.0189416268833133,-0.012911552525719443,0.011375636380134904,0.05704335103347853,-0.0033366832729648794,-0.017287132698279882,-0.0022122867016495743,0.005320928398995022,0.02627144317092429,0.005830793104656471,-0.06211634543247658,-0.03192661682006969,-0.0008999576400838373,0.010675320278454992,-0.013719075106652202,-0.004532182442509669,0.012392833644989734,0.04843102134942463,0.02445273619041878,-0.00815247452841918,0.00036688705367444736,-0.0288025122108086,-0.04811610648843659
HKK26_RS00030,0.003452108629262717,-0.0003731969272769608,-0.01398548736117103,-0.029499146459330803,0.017561333678441867,0.011879111146262417,-0.018828901614773314,0.04289882874532441,-0.0026712573958559143,-0.010956216068454117,-0.01569133178363715,-0.013397297426811172,-0.034286724582751796,0.04291461479007328,0.010125018357259924,0.01782466885529607,-0.007164211348540696,-0.0024805890800631398,-0.010520489153661307,-0.008392031915833442,0.0005338393665111646,0.030310618170302322,0.0024854456143042904,0.007485573575522684,0.01586337060301415,0.019151253355895535,-0.009841493794884854,0.005929507929125704
HKK26_RS00035,0.02580076595453186,0.02120666879199874,0.005962709209600365,-0.00758133214259238,-0.0018915076167262885,0.004599780836549191,-0.01125948143716278,-0.0009654458715416255,0.09180887330924273,0.010308535841983697,-0.017947347674683457,-0.004712833502077575,-0.020946629191048016,-0.005244125255254298,0.006321491558611789,0.016734155534108043,-0.007010745960680361,0.006704780400426684,-0.01236880402363105,-0.008837870260523706,0.004449762427423967,0.01813061537723689,0.10157992752925639,0.015159909793243765,-0.002767588054048204,-0.007807053205786824,-0.006302650527544101,0.010937124146343723
HKK26_RS00040,0.029148787678006514,0.014216429683742166,0.0005445268137759951,-0.03307686475617117,0.007538643466350085,-0.012575230431279559,-0.02738948645396347,0.002357394842134763,-0.009211224320179078,0.00963761445838112,-0.023486204361397506,-0.009908419131041497,-0.003232081847599833,-0.020718954034914933,-0.036244390547106,-0.00423308808577501,-0.003090024893174962,0.0121870864131041,0.0017109467951464744,-0.008763415546532816,0.017283585146962783,0.006602702273823174,-0.001404285177996207,-0.0020650306668402243,0.03574096656262141,-0.005949409427190152,0.000800508575363706,-0.006717375481212819
HKK26_RS00045,0.008166902711384365,0.002625305194549784,-0.0009584537292375338,-0.0001653258731799919,0.013097981590648814,-0.07079910959118302,-0.08270735099343259,-0.01730819691762,0.009766480539293281,0.038587087683695585,-0.03655914800197526,0.007530606708385581,0.01559738413805663,-0.005689923735664388,-0.02175764351224648,-0.018595505097438455,-0.003514274996925748,0.01405531898688984,0.04893781671105327,0.01399202167967924,0.06228885022170387,0.009166329749670054,0.0588251328782408,0.01206881195478088,0.013013743068621799,0.04107387456058674,-0.007402951198963554,-0.011526037660251358
HKK26_RS00050,0.019996123046755063,0.028146654676991237,-0.0009686643377665287,0.009733000159138416,0.008917019092041982,0.007693151077178367,-0.0380525431529542,-0.032938308702560294,-0.0030874672401970654,-0.02490829028990596,-0.040268013830255515,-0.0010185256007587125,0.011586370282390773,0.003088348971544293,0.0003230542362566952,-0.00325272464709515,0.01928482247952692,0.016049818888952475,0.015452177863631757,-0.0037516287886023465,-0.010887122738002094,0.023200233131336862,-0.006317033888079037,-0.007508330553489007,0.029989842446759254,-0.009345418030971156,-0.011213730976722909,0.0061532875757502985
