Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX15590309	6701834	4672498	45019	159099	0	0	0	0	0	0	0	0	0	1519912	301135	4171	69.71969165455306	6701834.0	6542735.0	97.63	159099.0	2.37	SRX15590309_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6701834.0	0.0	20-100	54.0	22.48546686041841	95.98155788400608	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	6870817	2120358	6870817	687081700	36719722	646245922	5.943365687079135					
SRX15590310	6882776	4501510	29658	543344	0	0	0	0	0	0	0	0	0	1479406	327069	1789	65.4025352561234	6882776.0	6339432.0	92.11	543344.0	7.89	SRX15590310_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6882776.0	0.0	20-100	54.0	26.029689451356408	95.96431962917288	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	7045051	2119446	7045051	704505100	37995617	663552193	5.813003624814072	0.0	0.5	0.5		
SRX15590311	7580689	4527930	26279	158335	0	0	0	0	0	0	0	0	0	2567919	294453	5773	59.729795009398224	7580689.0	7422354.0	97.91	158335.0	2.09	SRX15590311_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7580689.0	0.0	20-100	53.0	22.894782623487338	96.14744095160744	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7761056	2491854	7761056	776105600	39358726	732194679	5.657853905447919	0.0	0.0	1.0		
SRX15590312	8609673	4811606	56025	218474	0	0	0	0	0	0	0	0	0	3215175	302497	5896	55.8860481693091	8609673.0	8391199.0	97.46	218474.0	2.54	SRX15590312_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8609673.0	0.0	20-100	53.0	20.01308196468364	96.11968816934164	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	8835840	2904048	8835840	883584000	46811432	831445797	5.900763594632768	0.0	0.0	1.0		
SRX15590313	7738940	5021690	25671	143826	0	0	0	0	0	0	0	0	0	2221082	320272	6399	64.88860231504573	7738940.0	7595114.0	98.14	143826.0	1.86	SRX15590313_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7738940.0	0.0	20-100	54.0	22.73867022550939	96.0470141905739	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7932133	2446667	7932133	793213300	43033672	746761086	5.85620715134252	0.0	0.0	1.0		
SRX15590314	7392133	3901846	22200	164224	0	0	0	0	0	0	0	0	0	3044091	255226	4546	52.78376349559728	7392133.0	7227909.0	97.78	164224.0	2.22	SRX15590314_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7392133.0	0.0	20-100	53.0	21.38786239898952	96.0783505924474	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7589074	2550032	7589074	758907400	40292169	713590870	5.971285824858211					
SRX15590315	7767436	5026656	138931	162928	0	0	0	0	0	0	0	0	0	2151143	282640	5138	64.71448235942981	7767436.0	7604508.0	97.9	162928.0	2.1	SRX15590315_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7767436.0	0.0	20-100	54.0	22.34672652487981	96.0400142337832	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		2.6	7944482	2510227	7944482	794448200	41447324	749411299	5.668953746764107					
SRX15590316	6527666	4401988	14469	126000	0	0	0	0	0	0	0	0	0	1691516	288440	5253	67.4358645188035	6527666.0	6401666.0	98.07	126000.0	1.93	SRX15590316_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6527666.0	0.0	20-100	54.0	25.84023157031646	96.06317878396352	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		2.6	6655283	2062569	6655283	665528300	32780242	629870102	5.357878545510387	0.0	0.0	1.0		
SRX15590317	7116554	3169496	58024	149683	0	0	0	0	0	0	0	0	0	3532563	202738	4050	44.53694864115413	7116554.0	6966871.0	97.9	149683.0	2.1	SRX15590317_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7116554.0	0.0	20-100	52.0	19.8638775685152	96.2724357884448	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7283463	2550245	7283463	728346300	35637713	688324095	5.4949417605334165	0.0	0.0	1.0		
SRX15590318	6948799	2565358	53388	152723	0	0	0	0	0	0	0	0	0	3999507	174403	3420	36.91800554311616	6948799.0	6796076.0	97.8	152723.0	2.2	SRX15590318_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6948799.0	0.0	20-100	51.0	17.621795841332773	96.39092338114833	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7090785	2577375	7090785	709078500	32460794	672936101	5.097094186327747	0.0	0.0	1.0		
