Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
light_1684_KO_1	14194683	10296574	1691258	528613	0	0	0	0	198258	0	0	0	0	629677	601560	248743	72.53824548248102	14194683.0	13666070.0	96.28	528613.0	3.72	light_1684_KO_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14194683.0	0.0	20-51	54.0	23.07540929724449	50.53063108207488	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	14216602	4323508	14216602	725046702	1348342	717389591	1.0560852120116255			0.5431	0.1571	0.2998
light_1684_KO_2	10487002	6280420	1670989	284824	0	0	0	0	161602	0	0	0	0	1641072	344106	103989	59.88765902781367	10487002.0	10202178.0	97.28	284824.0	2.72	light_1684_KO_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10487002.0	0.0	20-51	54.0	19.47785410957788	50.52539486499573	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	10508725	3251413	10508725	535944975	251842	530713062	0.976203387297362			0.5754	0.1268	0.2978
post_uv_2hrs_1	10177084	5645014	2364033	394365	0	0	0	0	202073	0	0	0	0	1102199	328250	141150	55.46789237467236	10177084.0	9782719.0	96.12	394365.0	3.88	post_uv_2hrs_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10177084.0	0.0	20-51	54.0	14.162801610381068	50.51468799903784	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	10203070	3376983	10203070	520356570	234066	515341788	0.9637203197030836			0.4255	0.0589	0.5156
post_uv_2hrs_2	8780357	6895060	295433	476437	0	0	0	0	167431	0	0	0	0	335034	421765	189197	78.52824207489513	8780357.0	8303920.0	94.57	476437.0	5.43	post_uv_2hrs_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8780357.0	0.0	20-51	55.0	35.49972776791044	50.55517605947002	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	pass	2.6	8803111	2649590	8803111	448958661	1340356	443817822	1.1450584311146634			0.6363	0.1816	0.182
post_uv_2hrs_3	9835808	7667848	433479	555799	0	0	0	0	159386	0	0	0	0	382186	465087	172023	77.9584961398189	9835808.0	9280009.0	94.35	555799.0	5.65	post_uv_2hrs_3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9835808.0	0.0	20-51	55.0	32.68544993117181	50.49724232111892	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	9875635	2908352	9875635	503657385	320295	498197739	1.0839999893975545			0.655	0.1628	0.1822
post_uv_control_1	9492312	5128005	2275192	336105	0	0	0	0	167677	0	0	0	0	1171318	299182	114833	54.02271859584894	9492312.0	9156207.0	96.46	336105.0	3.54	post_uv_control_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9492312.0	0.0	20-51	54.0	18.86914973215748	50.46979903315441	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	pass	2.6	9519981	3082767	9519981	485519031	232148	480465162	1.040920886168106			0.4746	0.0976	0.4278
post_uv_control_2	11149945	8723919	240119	651676	0	0	0	0	338235	0	0	0	0	369672	522933	303391	78.24181195512624	11149945.0	10498269.0	94.16	651676.0	5.84	post_uv_control_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11149945.0	0.0	20-51	55.0	32.40555517478276	50.55201330589523	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass	2.6	11189687	3346240	11189687	570674037	2142860	563707367	1.220779209901221			0.641	0.1734	0.1856
wt_LL_1	9000373	4615696	899592	316848	0	0	0	0	190120	0	0	0	0	2600051	304509	73557	51.28338569968156	9000373.0	8683525.0	96.48	316848.0	3.52	wt_LL_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9000373.0	0.0	20-51	53.0	24.79771766135796	50.50872469396546	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	9009004	2808330	9009004	459459204	646006	454718034	1.0319022796200203			0.5229	0.129	0.3481
wt_LL_2	10369652	5539628	1001100	392619	0	0	0	0	152508	0	0	0	0	2853643	347264	82890	53.421542015103306	10369652.0	9977033.0	96.21	392619.0	3.79	wt_LL_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10369652.0	0.0	20-51	52.0	24.871237354492337	50.5050275554088	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	10386850	3311471	10386850	529729350	310730	524046328	1.072816146585044			0.4302	0.1318	0.438
wt_dark_4h_1	11921051	8242220	1233055	665954	0	0	0	0	206466	0	0	0	0	839241	527762	206353	69.14004478296418	11921051.0	11255097.0	94.41	665954.0	5.59	wt_dark_4h_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11921051.0	0.0	20-51	52.0	23.53951886525609	50.4957151009588	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	11953769	3722615	11953769	609642219	400117	602472991	1.1759730177086047			0.5411	0.1649	0.294
wt_dark_4h_2	10582305	3794025	1002266	539907	0	0	0	0	223089	0	0	0	0	4619563	331905	71550	35.85253874274083	10582305.0	10042398.0	94.9	539907.0	5.1	wt_dark_4h_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10582305.0	0.0	20-51	52.0	26.977419899994725	50.45663236884592	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	10608746	3451249	10608746	541046046	965398	534232088	1.2594044537200075			0.5054	0.1576	0.337
