Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
HKK26_RS00005,-0.01579544013674858,-0.015305838902820891,-0.002640639733266955,0.034629030441232105,-0.011820551059300239,0.013090842766531273,-0.05282412694384697,0.02090001983811049,0.0026941229634880968,0.004707656479056017,0.00839991070151959,0.043115177042046635,-0.0018484184979960642,0.011562072586214998,0.0024721112573238176,-0.04434675153940424,-0.00024043334758188246,0.0010474971680736642,0.0620812191527301,-0.007028215087838464,-0.00044386336708338,-0.018046519287019155,-0.030047896102734464,-0.006854146126165234,0.03127888321709702,-0.03984045695499391,0.007911032608065858,0.03739825468578478,-0.017323164155067582,0.0009543506312187441,0.03478927161267585,0.03749549140196575,0.01121326291967978,0.017659510952528823,-0.0027094623760864477,-0.0270093484242308,0.027700908959396097,-0.02368841562390672
HKK26_RS00010,-0.008936742707584945,-0.0006884908900880498,-0.006891633997750928,-9.179544737141767e-05,0.006792979947382533,-0.0009404945108984238,-0.03147507185195082,0.009555962888655197,0.0017554234574401401,0.008319881008108104,-0.010776483151264072,0.010911563401996574,0.011539270830262594,0.00025442442869184537,0.1471832211989492,0.01728120053185891,0.016904106834566186,0.020287339448072057,-0.011813483701427365,0.005322815407510406,0.0021072035852337653,0.011465491889025037,-0.024781449425264047,-0.01827059716229189,0.020776275189585774,-0.014608028134079082,-0.011390080691346545,-0.009001185623902638,-0.029504533606094046,-0.005523609599888399,-0.008752377344438136,0.006711685670015218,0.016618018227180193,-0.0035624744616213483,-0.0004276887299080645,-0.04098659804133685,0.010263129491069745,0.014166693684206179
HKK26_RS00015,0.015969783274234806,-0.0020582706169773647,0.03386529681184111,0.002870885712933801,-0.017536913425792982,-0.010173034232144877,0.014353716228080344,0.07543983897438065,0.01702161771993783,-0.025920966146994316,0.06110464713266346,0.012591875364148297,-0.025319379333857434,0.022454052933037864,-0.004307916212388146,0.006245324460601161,-0.0037503825475269687,0.02639742245941108,-0.0021684372588652925,0.019194299544606795,-0.00573741769019904,-0.009520292048133346,-0.005021270146560889,-0.006931581814612183,0.006132833814295195,0.0027719705749106836,0.002031391491321351,-0.022085465799973496,-0.02302540734041701,-0.008275220593539453,-0.02782516931492337,-0.01664425281455849,0.046200493772071576,-0.03571093779536585,-0.013271087414038048,-0.012191344644810023,0.018862003893984004,0.03452555047248203
HKK26_RS00020,0.00849582566625472,0.0026969963723849594,0.05382171694003893,-0.01209480631719576,-0.006418777744928686,-0.025924327497389075,-0.007967862910667029,0.060570684180287,-0.008580241438570887,-0.03245942563245957,-0.028787230758564077,-0.022043177073042056,0.00232434739201503,0.019773473783522247,0.019416912028190875,0.03124830221106298,-0.0074716793496209955,0.004914776266779754,0.007520821647124862,0.010279023590317309,-0.010525201363057256,0.00038523803664286587,0.00028035002849848353,0.008913445808978326,0.0018444766158959751,-0.02434226884841634,-0.002423793749598561,0.0013653842237441485,-0.01071532950519503,-0.015237318062672705,-0.022734882024079167,0.00478015772753247,0.07602239954985589,0.0010482646718352352,-0.005332923167476164,-0.011556897384993721,-0.006751532716515328,0.029344582762883684
HKK26_RS00025,-0.034556415262555894,-0.022953263717679643,-0.006725463404404859,-0.016715687061244027,0.009184112346895907,0.004434921263215811,0.008915358414741798,-0.009517116993476982,0.008518551137392631,0.011990957520673955,0.03107768344060746,-0.03208051538365032,-0.022830108034075914,-0.004486869414591045,0.04390842666976078,0.06415256885825618,0.014119852155162118,0.0033526084732342174,0.028532950366904695,-0.015083288861946592,0.007527929080986852,-0.016917707086614428,-0.004557490657923841,-0.029351909417014488,0.04354443341916194,-0.004496830721018755,-0.0025001436844884002,-0.031665933763807594,0.01469708908093599,-0.013301902294497271,-0.06619188607982643,0.015469584121636175,0.019374320078204218,0.01957656484191514,-0.010340361404957204,0.009694303786617214,-0.004621383768801738,-0.003566831073590924
HKK26_RS00030,-0.0240097427792803,-0.011599781166385706,0.01095108585575474,0.010805608813283279,0.031418518233792964,-0.008777155324454737,0.010604572284602461,0.021453682769228762,0.007649455707251585,0.0053473014192402975,-0.005472391855738563,-0.0082962674836812,-0.010749887475127768,-0.029418076150106356,-0.02557260038235993,-0.0011832152249197467,-0.016959812571320426,0.001935088826983365,-0.00493568523703507,0.00941883953349713,0.025231720963334803,-0.014334089965690524,-0.01587631985081515,-0.03705273689756506,0.012390085674171698,0.0025662436487395336,-0.028618864592493347,0.003786446890740436,-0.0037832805056080237,-0.0016909741664346935,0.0035439258935388487,0.01455014429785385,0.04785029859532805,-0.005478243848793994,-0.010624373686193301,-0.006939784158068258,0.009991568891139068,0.029255970071124834
HKK26_RS00035,0.009381117655045445,-0.006795881155407789,0.015422311549972518,0.018556465008319954,0.016261842574142295,0.021379446611984432,0.021234297235318524,0.018603961378835115,0.014730413127164103,-0.0005343028403727489,-0.0033512728018041784,-0.003375489489153911,0.0026708399406012175,-0.01635821656491228,-0.010712358253001176,-0.029208835355578503,0.023352789487197583,-0.0029992104984682194,0.10357375493525384,0.005719343437173239,0.009131443795483642,-0.018440809852806897,0.00452169458612475,-0.01667253468010841,-0.004444376803762338,0.004991649831820909,-0.02100490211201199,-0.0004988638533134123,0.001738752851333139,0.0008298260322081917,0.01061804936887474,0.006349151969212444,0.014106171754319427,0.004072795893769845,0.013650557336156968,0.06549847780941702,0.003906275152973214,0.02166320883670667
HKK26_RS00040,0.0340378943419306,-0.010224205769201104,0.016544495180682437,0.03217357051494169,-0.006782932911016559,-0.01636106953376529,0.001806294855959786,-0.005695793327049784,-0.010189827688927509,0.018217783931296697,0.001996950434043598,0.009964632533306513,-0.007726418028686723,-0.033104883155118815,-0.010801841022063371,0.016911007078451976,-0.007100285119222972,0.0037060459019457475,-0.0021598714761099677,-0.025848285677044714,-0.0006394774408126213,-0.018037384788039852,-0.025477587818021296,-0.009206018749284315,-0.0055854044341426675,0.0024023174137650753,-0.0004620619988943062,0.03345667844962328,-0.008275364163678942,0.004378091064567253,-0.0183351995652567,-0.004562417182389188,0.011227496013541926,-0.03798821210016741,-0.005473717296162948,-8.682200445118712e-05,0.012262047733121825,0.010149829618999438
HKK26_RS00045,-0.019948518614665366,0.00904798516939882,0.027962971909499555,0.00872295540792521,-0.06463899797057857,0.023588540491126922,-0.0003503637001100791,0.004220562526467085,-0.03731426413311362,0.04083565132898708,-0.0011757428672575544,0.004067995703561763,0.00993985441603705,0.0018546802860419462,0.02631925522584876,0.05567016119387134,0.020136104962318848,-0.0017999766112601263,0.049538111509579374,-0.011380887912761819,0.009238136921189419,-0.0036821449245929535,-0.032800430870144004,-0.031412393057385184,0.009657408824333455,-0.011013728499428381,0.016860759459157854,0.0058222116730821255,-0.011923049295852195,-0.022317689039832236,-0.032158239964341986,-0.005777784808289884,-0.031143863423911868,-0.00739832871650199,0.06764226507295985,-0.011163557942127951,0.0034203325870924423,-0.0511984751071815
HKK26_RS00050,0.010501950704059475,-0.031466658705797346,0.028560860508184273,0.028753855208026778,-0.031258021258411,0.0020370024658133523,-0.0033370954548215285,-0.0029988891568736016,-0.007317360163484317,-0.02670765714655146,0.019728377399697638,-0.00604999743579256,-0.014172113952874515,-0.02799075959772403,0.011154589591862192,0.03313066801416247,-0.005385284739170023,0.008109477539119024,-0.010695102752104793,0.04496737796674733,0.015116664871991254,0.004967704079930452,-0.03265725813701821,-0.05234648410362459,-0.01706315231221959,0.00041925271101638835,0.011049740532175705,-0.007195047310530288,0.006934510168323261,0.002272169878321509,-0.002462030998446303,-0.009727872448939655,0.006056159333043518,0.03487446316447592,-0.0187101967706546,0.022118671207459587,0.020852043040150932,0.022927296616265105
