,gene_id,database,kegg_id
209,Synpcc7942_0092,KEGG_pathway,-
212,Synpcc7942_0093,KEGG_pathway,map00240
213,Synpcc7942_0093,KEGG_pathway,map01100
220,Synpcc7942_0094,KEGG_pathway,map00230
221,Synpcc7942_0094,KEGG_pathway,map00240
222,Synpcc7942_0094,KEGG_pathway,map01100
223,Synpcc7942_0094,KEGG_pathway,map03030
224,Synpcc7942_0094,KEGG_pathway,map03430
225,Synpcc7942_0094,KEGG_pathway,map03440
227,Synpcc7942_0095,KEGG_pathway,map02020
228,Synpcc7942_0096,KEGG_pathway,-
231,Synpcc7942_0097,KEGG_pathway,map00860
232,Synpcc7942_0097,KEGG_pathway,map01100
247,Synpcc7942_0098,KEGG_pathway,map00010
248,Synpcc7942_0098,KEGG_pathway,map00230
249,Synpcc7942_0098,KEGG_pathway,map00620
250,Synpcc7942_0098,KEGG_pathway,map01100
251,Synpcc7942_0098,KEGG_pathway,map01110
252,Synpcc7942_0098,KEGG_pathway,map01120
253,Synpcc7942_0098,KEGG_pathway,map01130
254,Synpcc7942_0098,KEGG_pathway,map01200
255,Synpcc7942_0098,KEGG_pathway,map01230
256,Synpcc7942_0098,KEGG_pathway,map04922
257,Synpcc7942_0098,KEGG_pathway,map04930
258,Synpcc7942_0098,KEGG_pathway,map05165
259,Synpcc7942_0098,KEGG_pathway,map05203
260,Synpcc7942_0098,KEGG_pathway,map05230
261,Synpcc7942_0099,KEGG_pathway,-
262,Synpcc7942_0100,KEGG_pathway,-
264,Synpcc7942_0101,KEGG_pathway,map00190
265,Synpcc7942_0102,KEGG_pathway,-
268,Synpcc7942_0105,KEGG_pathway,map00760
269,Synpcc7942_0105,KEGG_pathway,map01100
272,Synpcc7942_0106,KEGG_pathway,map00760
273,Synpcc7942_0106,KEGG_pathway,map01100
274,Synpcc7942_0107,KEGG_pathway,-
275,Synpcc7942_0108,KEGG_pathway,-
276,Synpcc7942_0109,KEGG_pathway,-
277,Synpcc7942_0110,KEGG_pathway,-
278,Synpcc7942_0111,KEGG_pathway,-
279,Synpcc7942_0112,KEGG_pathway,-
280,Synpcc7942_0114,KEGG_pathway,-
281,Synpcc7942_0115,KEGG_pathway,-
286,Synpcc7942_0116,KEGG_pathway,map00051
287,Synpcc7942_0116,KEGG_pathway,map00500
288,Synpcc7942_0116,KEGG_pathway,map00520
289,Synpcc7942_0116,KEGG_pathway,map01100
292,Synpcc7942_0118,KEGG_pathway,map00970
293,Synpcc7942_0118,KEGG_pathway,map01100
294,Synpcc7942_0119,KEGG_pathway,-
295,Synpcc7942_0120,KEGG_pathway,-
296,Synpcc7942_0121,KEGG_pathway,-
297,Synpcc7942_0122,KEGG_pathway,-
299,Synpcc7942_0124,KEGG_pathway,map00983
304,Synpcc7942_0125,KEGG_pathway,map00340
305,Synpcc7942_0125,KEGG_pathway,map01100
306,Synpcc7942_0125,KEGG_pathway,map01110
307,Synpcc7942_0125,KEGG_pathway,map01230
314,Synpcc7942_0126,KEGG_pathway,map00061
315,Synpcc7942_0126,KEGG_pathway,map00333
316,Synpcc7942_0126,KEGG_pathway,map00780
317,Synpcc7942_0126,KEGG_pathway,map01100
318,Synpcc7942_0126,KEGG_pathway,map01130
319,Synpcc7942_0126,KEGG_pathway,map01212
320,Synpcc7942_0127,KEGG_pathway,-
321,Synpcc7942_0128,KEGG_pathway,-
322,Synpcc7942_0129,KEGG_pathway,-
323,Synpcc7942_0131,KEGG_pathway,-
324,Synpcc7942_0132,KEGG_pathway,-
325,Synpcc7942_0133,KEGG_pathway,-
326,Synpcc7942_0134,KEGG_pathway,-
330,Synpcc7942_0135,KEGG_pathway,map00130
331,Synpcc7942_0135,KEGG_pathway,map01100
332,Synpcc7942_0135,KEGG_pathway,map01110
333,Synpcc7942_0136,KEGG_pathway,-
337,Synpcc7942_0137,KEGG_pathway,map00860
338,Synpcc7942_0137,KEGG_pathway,map01100
339,Synpcc7942_0137,KEGG_pathway,map01110
340,Synpcc7942_0138,KEGG_pathway,-
350,Synpcc7942_0139,KEGG_pathway,map00290
351,Synpcc7942_0139,KEGG_pathway,map00650
352,Synpcc7942_0139,KEGG_pathway,map00660
353,Synpcc7942_0139,KEGG_pathway,map00770
354,Synpcc7942_0139,KEGG_pathway,map01100
355,Synpcc7942_0139,KEGG_pathway,map01110
356,Synpcc7942_0139,KEGG_pathway,map01130
357,Synpcc7942_0139,KEGG_pathway,map01210
358,Synpcc7942_0139,KEGG_pathway,map01230
361,Synpcc7942_0141,KEGG_pathway,map03060
362,Synpcc7942_0141,KEGG_pathway,map03070
365,Synpcc7942_0142,KEGG_pathway,map03060
366,Synpcc7942_0142,KEGG_pathway,map03070
378,Synpcc7942_0143,KEGG_pathway,map00010
379,Synpcc7942_0143,KEGG_pathway,map00020
380,Synpcc7942_0143,KEGG_pathway,map00620
381,Synpcc7942_0143,KEGG_pathway,map01100
382,Synpcc7942_0143,KEGG_pathway,map01110
383,Synpcc7942_0143,KEGG_pathway,map01120
384,Synpcc7942_0143,KEGG_pathway,map01130
385,Synpcc7942_0143,KEGG_pathway,map01200
386,Synpcc7942_0143,KEGG_pathway,map04066
387,Synpcc7942_0143,KEGG_pathway,map04922
388,Synpcc7942_0143,KEGG_pathway,map05230
389,Synpcc7942_0144,KEGG_pathway,-
390,Synpcc7942_0145,KEGG_pathway,-
391,Synpcc7942_0148,KEGG_pathway,-
392,Synpcc7942_0149,KEGG_pathway,-
395,Synpcc7942_0150,KEGG_pathway,map00510
396,Synpcc7942_0150,KEGG_pathway,map01100
400,Synpcc7942_0152,KEGG_pathway,map00550
401,Synpcc7942_0152,KEGG_pathway,map01100
402,Synpcc7942_0152,KEGG_pathway,map01502
403,Synpcc7942_0153,KEGG_pathway,-
404,Synpcc7942_0154,KEGG_pathway,-
416,Synpcc7942_0156,KEGG_pathway,map00010
417,Synpcc7942_0156,KEGG_pathway,map00030
418,Synpcc7942_0156,KEGG_pathway,map00052
419,Synpcc7942_0156,KEGG_pathway,map00230
420,Synpcc7942_0156,KEGG_pathway,map00500
421,Synpcc7942_0156,KEGG_pathway,map00520
422,Synpcc7942_0156,KEGG_pathway,map00521
423,Synpcc7942_0156,KEGG_pathway,map01100
424,Synpcc7942_0156,KEGG_pathway,map01110
425,Synpcc7942_0156,KEGG_pathway,map01120
426,Synpcc7942_0156,KEGG_pathway,map01130
428,Synpcc7942_0158,KEGG_pathway,map04122
429,Synpcc7942_0159,KEGG_pathway,-
430,Synpcc7942_0160,KEGG_pathway,-
431,Synpcc7942_0161,KEGG_pathway,-
