Sample	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX3176792	0.0869	0.5243	0.3888		
SRX3176793	0.0604	0.588	0.3516		
SRX3176794	0.0628	0.5766	0.3606		
SRX3176795	0.0631	0.5097	0.4272		
SRX3176796	0.0719	0.4336	0.4944		
SRX3176797	0.0428	0.4452	0.512		
SRX3176798	0.0933	0.6178	0.2889		
SRX3176799	0.0614	0.6932	0.2455		
SRX3176800	0.0569	0.6953	0.2478		
SRX3176801	0.0333	0.732	0.2348		
SRX3176802	0.0748	0.7262	0.199		
SRX3176803	0.028	0.8317	0.1402		
SRX3176804	0.0521	0.7307	0.2172		
SRX3176805	0.0328	0.7278	0.2394		
SRX3176806	0.0615	0.6338	0.3046		
SRX3176807	0.0709	0.6036	0.3255		
SRX3176808	0.0638	0.6555	0.2807		
SRX3176809	0.0649	0.6774	0.2577		
SRX3176810	0.0468	0.7042	0.2489		
SRX3176811	0.0398	0.7819	0.1783		
SRX3176812	0.027	0.7746	0.1983		
SRX3176813	0.031	0.7515	0.2176		
SRX3176814	0.0635	0.6865	0.25		
SRX3176815	0.0563	0.7162	0.2275		
SRX3211301	0.06	0.5701	0.3699		
SRX3211302	0.0622	0.4539	0.4839		
SRX3211303	0.0557	0.615	0.3293		
SRX3211304	0.0848	0.3825	0.5328		
SRX3211305	0.0718	0.334	0.5942		
SRX3211306	0.0481	0.5445	0.4074		
SRX3211307	0.0467	0.5084	0.4448		
SRX3211308	0.0653	0.4911	0.4436		
SRX3211309	0.0627	0.4849	0.4524		
SRX3211310	0.0902	0.4431	0.4667		
SRX3211311	0.0668	0.5054	0.4277		
SRX3211312	0.0642	0.6648	0.271		
SRX3211313	0.054	0.5736	0.3723		
SRX3211314	0.0612	0.634	0.3048		
SRX3211315	0.048	0.589	0.363		
SRX3211316	0.0269	0.541	0.432		
SRX3211317	0.0559	0.5921	0.352		
SRX3211318	0.0659	0.6165	0.3176		
SRX3211319	0.0721	0.5415	0.3864		
SRX3211321	0.0825	0.2959	0.6216		
SRX3211322	0.0349	0.6284	0.3367		
SRX3211323	0.0413	0.5878	0.3708		
SRX3211324	0.0339	0.4688	0.4974		
SRX3211325	0.044	0.5453	0.4106		
SRX3211326	0.1059	0.4707	0.4235		
SRX3211327	0.0569	0.4936	0.4496		
SRX3211328	0.0436	0.4564	0.5		
SRX3211329	0.0768	0.4648	0.4584		
SRX3211330	0.081	0.567	0.352		
SRX3211331	0.0547	0.5198	0.4254		
SRX3211332	0.0332	0.5352	0.4316		
SRX3211333	0.0547	0.5881	0.3572		
SRX3211334	0.0441	0.6982	0.2577		
SRX3211335	0.0547	0.652	0.2933		
SRX3211336	0.0164	0.733	0.2505		
SRX3211337	0.0548	0.5748	0.3704		
SRX3211338	0.0293	0.5568	0.414		
SRX3211339	0.0471	0.5629	0.39		
SRX3211340	0.0392	0.635	0.3258		
SRX3211341	0.0516	0.5606	0.3878		
SRX3211342	0.0712	0.5862	0.3426		
SRX3211343	0.0323	0.6253	0.3424		
SRX3211344	0.0413	0.6694	0.2893		
SRX3211345	0.0371	0.6259	0.337		
SRX3211346	0.0318	0.6667	0.3015		
SRX3211347	0.0859	0.5251	0.389		
SRX3211348	0.0642	0.4832	0.4526		
SRX3211349	0.1464	0.3769	0.4767		
SRX3211350	0.0601	0.5064	0.4335		
SRX3211351	0.0792	0.5045	0.4163		
SRX3211352	0.0605	0.5422	0.3973		
SRX3211353	0.0298	0.5764	0.3939		
SRX3211354	0.0437	0.5918	0.3645		
SRX3211355	0.0424	0.5102	0.4475		
SRX3211356	0.0612	0.429	0.5098		
SRX3211357	0.0258	0.4758	0.4983		
SRX3211358	0.065	0.5417	0.3934		
SRX3211359	0.1212	0.5549	0.3239		
SRX3211360	0.0481	0.6049	0.3471		
SRX3312459	0.0551	0.5566	0.3883		
SRX3312460	0.0767	0.5355	0.3879		
SRX3312461	0.0606	0.6162	0.3232		
SRX3312462	0.0572	0.682	0.2608		
SRX3312463	0.053	0.6744	0.2726		
SRX3312464	0.0527	0.6466	0.3007		
SRX3312465	0.037	0.7055	0.2575		
SRX3312466	0.0516	0.7291	0.2192		
SRX3312467	0.0482	0.7141	0.2378		
SRX3312468	0.0862	0.4742	0.4396		
SRX3312469	0.0783	0.4421	0.4796		
SRX3312470	0.0786	0.4734	0.4481		
SRX3312471	0.0576	0.5548	0.3876		
SRX3312472	0.0589	0.5076	0.4335		
SRX3312473	0.0606	0.4788	0.4606		
SRX3312474	0.0593	0.4826	0.458		
SRX3312475	0.0617	0.4582	0.48		
SRX3312476	0.0462	0.4424	0.5114		
SRX3312477	0.0713	0.5467	0.382		
SRX3312478	0.0481	0.5874	0.3645		
SRX3312479	0.0626	0.6299	0.3075		
SRX3312480	0.0382	0.6834	0.2784		
SRX3312481	0.0335	0.7098	0.2568		
SRX3312482	0.0409	0.6647	0.2944		
SRX3312483	0.0417	0.7052	0.2531		
SRX3312484	0.0512	0.7139	0.2349		
SRX3312485	0.0579	0.6624	0.2797		
SRX3312486	0.0901	0.4156	0.4943		
SRX3312487	0.0638	0.4232	0.513		
SRX3312488	0.0783	0.4331	0.4886		
SRX3312489	0.0835	0.5084	0.4081		
SRX3312490	0.0735	0.5649	0.3616		
SRX3312491	0.0519	0.5166	0.4315		
SRX3312492	0.0569	0.5821	0.361		
SRX3312493	0.0391	0.5654	0.3955		
SRX3312494	0.0718	0.5186	0.4096		
SRX359366	0.0485	0.4078	0.5437		
SRX359367	0.1339	0.4643	0.4018		
SRX359368	0.0789	0.4649	0.4561		
SRX359369	0.0323	0.7032	0.2645		
SRX359370	0.0933	0.58	0.3267		
SRX359371	0.0565	0.5645	0.379		
SRX359372	0.0796	0.5398	0.3805		
SRX359373	0.0598	0.5641	0.3761		
SRX359374	0.0566	0.4717	0.4717		
SRX359375	0.0984	0.5574	0.3443		
SRX359376	0.0504	0.6403	0.3094		
SRX359377	0.0694	0.6597	0.2708		
SRX359378	0.027	0.5946	0.3784		
SRX359379	0.0725	0.5507	0.3768		
SRX359380	0.1304	0.4783	0.3913		
SRX359381	0.0494	0.4938	0.4568		
SRX359382	0.1122	0.4694	0.4184		
SRX359383	0.0842	0.4842	0.4316		
SRX4105497	0.037	0.6817	0.2813		
SRX4105498	0.0455	0.6157	0.3388		
SRX4105499	0.0269	0.7366	0.2366		
SRX4105500	0.0328	0.6885	0.2787		
SRX4105501	0.0448	0.6517	0.3035		
SRX4105502	0.1295	0.705	0.1655		
SRX4105503	0.0586	0.6771	0.2643		
SRX4105504	0.0609	0.6093	0.3297		
SRX4105505	0.0469	0.6667	0.2865		
SRX4105506	0.0	0.0	1.0		
SRX4105507	0.0	0.0	1.0		
SRX4105508	0.069	0.7586	0.1724		
SRX4105509	0.0368	0.7263	0.2368		
SRX4105510	0.0784	0.7124	0.2092		
SRX4105511	0.0266	0.3926	0.5808		
SRX4105512	0.0398	0.4746	0.4857		
SRX4105513	0.062	0.5775	0.3605		
SRX4105514	0.0419	0.4656	0.4925		
SRX4105515	0.0213	0.5745	0.4043		
SRX4105516	0.0463	0.6429	0.3108		
SRX4105517	0.0144	0.7122	0.2734		
SRX4105518	0.0	0.7238	0.2762		
SRX4105519	0.0	0.9815	0.0185		
SRX4105520	0.0364	0.6364	0.3273		
SRX4105521	0.1071	0.5714	0.3214		
SRX4105522	0.052	0.6734	0.2746		
SRX4105523	0.0	0.8409	0.1591		
SRX4105524	0.0882	0.8235	0.0882		
SRX4105525	0.0212	0.6471	0.3317		
SRX4105526	0.0769	0.3928	0.5302		
SRX4105527	0.0448	0.5801	0.3751		
SRX4105529	0.0421	0.6477	0.3102		
SRX4105530	0.0295	0.6011	0.3694		
SRX4105531	0.0	0.8333	0.1667		
SRX4105532	0.0	0.6364	0.3636		
SRX4105533	0.0232	0.6394	0.3373		
SRX4105534	0.0913	0.3498	0.5589		
SRX4105535	0.0752	0.3571	0.5677		
SRX4105536	0.0504	0.607	0.3427		
SRX4105537	0.0396	0.6123	0.3482		
SRX4105538	0.0413	0.5817	0.3769		
SRX4105539	0.0276	0.6548	0.3177		
SRX4105540	0.0551	0.6036	0.3412		
SRX4105541	0.0709	0.3617	0.5674		
SRX4105542	0.0498	0.4382	0.512		
SRX4105543	0.0662	0.4253	0.5085		
SRX4105544	0.057	0.4223	0.5207		
SRX4105545	0.0626	0.4275	0.5098		
SRX4105546	0.029	0.5445	0.4265		
SRX4105547	0.0822	0.5205	0.3973		
SRX4105548	0.0778	0.4371	0.485		
SRX4105549	0.0	0.3333	0.6667		
SRX4105550	0.0814	0.6047	0.314		
SRX4105551	0.0	0.82	0.18		
SRX4105552	0.055	0.6284	0.3165		
SRX4105553	0.0833	0.619	0.2976		
SRX4105554	0.0575	0.4828	0.4598		
SRX4105555	0.0248	0.37	0.6053		
SRX4105556	0.0423	0.4233	0.5344		
SRX4105557	0.0549	0.4765	0.4687		
SRX4105558	0.0621	0.454	0.4839		
SRX4105559	0.0268	0.493	0.4803		
SRX4105560	0.0859	0.5328	0.3813		
SRX4105561	0.0165	0.6099	0.3736		
SRX4105562	0.04	0.4533	0.5067		
SRX4105563	0.0625	0.489	0.4485		
SRX4105564	0.0685	0.5103	0.4212		
SRX4105565	0.049	0.4739	0.4771		
SRX4105566	0.0714	0.5497	0.3789		
SRX4105567	0.0654	0.5514	0.3832		
SRX4105568	0.0778	0.4944	0.4278		
SRX5055969			0.7012	0.1753	0.1235
SRX5055970			0.7102	0.1838	0.106
SRX5055971			0.7156	0.1854	0.099
SRX5055972			0.6965	0.1854	0.1181
SRX689242	0.6978	0.1007	0.2015		
SRX7119038			0.7012	0.1753	0.1235
SRX7119039			0.7102	0.1838	0.106
SRX7119040			0.6891	0.2233	0.0877
SRX7119041			0.6865	0.1877	0.1258
SRX8650808			0.2511	0.032	0.7169
