Sample	Sense	Antisense	Undetermined
SRX3176794	6.279999999999999	57.66	36.059999999999995
SRX3176795	6.3100000000000005	50.970000000000006	42.72
SRX3176796	7.19	43.36	49.44
SRX3176797	4.279999999999999	44.519999999999996	51.2
SRX3176798	9.33	61.78	28.89
SRX3176799	6.140000000000001	69.32000000000001	24.55
SRX3176800	5.6899999999999995	69.53	24.779999999999998
SRX3176801	3.3300000000000005	73.2	23.48
SRX3176802	7.48	72.61999999999999	19.900000000000002
SRX3176803	2.8000000000000003	83.17	14.02
SRX3176804	5.21	73.07000000000001	21.72
SRX3176805	3.2800000000000002	72.78	23.94
SRX3176806	6.15	63.38	30.459999999999997
SRX3176807	7.090000000000001	60.36	32.550000000000004
SRX3176808	6.38	65.55	28.07
SRX3176809	6.49	67.74	25.77
SRX3176810	4.68	70.42	24.89
SRX3176811	3.9800000000000004	78.19	17.83
SRX3176812	2.7	77.46	19.830000000000002
SRX3176813	3.1	75.14999999999999	21.759999999999998
SRX3176814	6.35	68.65	25.0
SRX3176815	5.63	71.61999999999999	22.75
SRX3211301	6.0	57.010000000000005	36.99
SRX3211302	6.22	45.39	48.39
SRX3211303	5.57	61.5	32.93
SRX3211304	8.48	38.25	53.28000000000001
SRX3211305	7.180000000000001	33.4	59.419999999999995
SRX3211306	4.81	54.449999999999996	40.739999999999995
SRX3211307	4.67	50.839999999999996	44.48
SRX3211308	6.529999999999999	49.11	44.36
SRX3211309	6.2700000000000005	48.49	45.24
SRX3211310	9.02	44.31	46.67
SRX3211311	6.68	50.54	42.77
SRX3211312	6.419999999999999	66.47999999999999	27.1
SRX3211313	5.4	57.36	37.230000000000004
SRX3211314	6.12	63.4	30.48
SRX3211315	4.8	58.9	36.3
SRX3211316	2.69	54.1	43.2
SRX3211317	5.59	59.209999999999994	35.199999999999996
SRX3211318	6.59	61.650000000000006	31.759999999999998
SRX3211319	7.21	54.15	38.64
SRX3211321	8.25	29.59	62.160000000000004
SRX3211322	3.49	62.839999999999996	33.67
SRX3211323	4.130000000000001	58.78	37.08
SRX3211324	3.39	46.88	49.74
SRX3211325	4.3999999999999995	54.53	41.06
SRX3211326	10.59	47.07	42.35
SRX3211327	5.6899999999999995	49.36	44.96
SRX3211328	4.36	45.64	50.0
SRX3211329	7.68	46.48	45.839999999999996
SRX3211330	8.1	56.699999999999996	35.199999999999996
SRX3211331	5.47	51.980000000000004	42.54
SRX3211332	3.32	53.52	43.16
SRX3211333	5.47	58.809999999999995	35.72
SRX3211334	4.41	69.82000000000001	25.77
SRX3211335	5.47	65.2	29.330000000000002
SRX3211336	1.6400000000000001	73.3	25.05
SRX3211337	5.48	57.48	37.04
SRX3211338	2.93	55.67999999999999	41.4
SRX3211339	4.71	56.28999999999999	39.0
SRX3211340	3.92	63.5	32.58
SRX3211341	5.16	56.06	38.78
SRX3211342	7.12	58.620000000000005	34.260000000000005
SRX3211343	3.2300000000000004	62.529999999999994	34.239999999999995
SRX3211344	4.130000000000001	66.94	28.93
SRX3211345	3.71	62.59	33.7
SRX3211346	3.18	66.67	30.15
SRX3211347	8.59	52.51	38.9
SRX3211348	6.419999999999999	48.32	45.26
SRX3211349	14.64	37.69	47.67
