Module	Section	Sample Name	Source
featureCounts	all_sections	SRX259788	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX259788_all.txt.summary
featureCounts	all_sections	SRX3172766	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3172766_all.txt.summary
featureCounts	all_sections	SRX3211307	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3211307_all.txt.summary
featureCounts	all_sections	SRX10864015	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX10864015_all.txt.summary
featureCounts	all_sections	SRX18913114	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX18913114_all.txt.summary
featureCounts	all_sections	SRX4105524	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105524_all.txt.summary
featureCounts	all_sections	wt_LL_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/wt_LL_1_all.txt.summary
featureCounts	all_sections	SRX15590319	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590319_all.txt.summary
featureCounts	all_sections	SRX18913110	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX18913110_all.txt.summary
featureCounts	all_sections	SRX3211324	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3211324_all.txt.summary
featureCounts	all_sections	SRX3159660	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3159660_all.txt.summary
featureCounts	all_sections	SRX10864009	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX10864009_all.txt.summary
featureCounts	all_sections	SRX15947810	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15947810_all.txt.summary
featureCounts	all_sections	SRX3211344	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3211344_all.txt.summary
featureCounts	all_sections	SRX3159662	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3159662_all.txt.summary
featureCounts	all_sections	SRX3176810	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3176810_all.txt.summary
featureCounts	all_sections	SRX4105567	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105567_all.txt.summary
featureCounts	all_sections	SRX17839591	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX17839591_all.txt.summary
featureCounts	all_sections	SRX3211304	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3211304_all.txt.summary
featureCounts	all_sections	SRX3211328	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3211328_all.txt.summary
featureCounts	all_sections	SRX3176786	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3176786_all.txt.summary
featureCounts	all_sections	SRX3176808	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3176808_all.txt.summary
featureCounts	all_sections	post_uv_control_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/post_uv_control_2_all.txt.summary
featureCounts	all_sections	SRX2356916	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX2356916_all.txt.summary
featureCounts	all_sections	SRX15590312	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590312_all.txt.summary
featureCounts	all_sections	SRX3159656	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3159656_all.txt.summary
featureCounts	all_sections	SRX2356935	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX2356935_all.txt.summary
featureCounts	all_sections	SRX15630042	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15630042_all.txt.summary
featureCounts	all_sections	SRX4105503	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105503_all.txt.summary
featureCounts	all_sections	dark_4h_1684_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/dark_4h_1684_KO_1_all.txt.summary
featureCounts	all_sections	SRX3312470	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3312470_all.txt.summary
featureCounts	all_sections	SRX3211352	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3211352_all.txt.summary
featureCounts	all_sections	SRX3211337	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3211337_all.txt.summary
featureCounts	all_sections	SRX3312478	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3312478_all.txt.summary
