Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRX2356913	2.4872781762374947	49.795840979266316
SRX2356914	2.5129558566903674	49.05766927542872
SRX2356915	3.1195334149476177	50.85453936843607
SRX2356916	2.8135830862054467	51.24994611438171
SRX2356917	2.7101091166432867	49.50437355774361
SRX2356918	3.017468005562038	50.032202030422255
SRX2356919	2.8024548398383873	49.315159273123896
SRX2356920	3.00400498054231	47.022956093221154
SRX2356921	2.8759385555207593	43.79388426601872
SRX2356922	3.759535020381566	44.725075935918056
SRX2356923	2.8885825369419407	44.17184454402915
SRX2356924	2.4033575087666446	39.36432851936264
SRX2356925	2.183551185582191	41.83355209056935
SRX2356926	2.5565386263725767	42.230241271648616
SRX2356927	2.581419058045546	41.5704497614178
SRX2356928	2.335041819440262	40.82821736547423
SRX2356929	2.5862592948611782	41.888024469808414
SRX2356930	2.764403458239932	45.21856402660533
SRX2356931	2.447744729584956	43.78610520830635
SRX2356932	2.4545675985793354	43.90093084908696
SRX2356933	2.914942057043672	42.955039230778276
SRX2356934	3.2962291287232506	40.261083896101866
SRX2356935	3.005750138002379	42.31873859993029
SRX259777	0.0	0.0
SRX259778	0.0	0.0
SRX259779	0.14935734965781006	0.599709575454531
SRX259780	0.11338560565839874	0.10388005739132726
SRX259781	0.12514374756757	0.3307834274560594
SRX259782	0.12535771742025714	0.4429410713574857
SRX259783	0.22100362592928835	0.9593813287859007
SRX259784	0.0	0.0
SRX259785	0.36255663686457235	4.816772990084317
SRX259786	0.17926338600950253	0.5495349496887711
SRX259787	0.0	0.0
SRX259788	0.17170632062218308	0.8329819888638065
SRX259789	0.5849608490386854	13.353683976076631
SRX259790	0.223531153881061	2.0383240309343664
SRX259791	0.16702542467748097	1.0187371661051015
SRX259792	0.7378592140070896	3.960736304250128
SRX259793	0.9212810225040696	1.2105804717835027
SRX3159653	1.286879670771819	9.347965488159904
SRX3159654	1.1002756538064464	9.864498812520662
SRX3159655	0.8547218880680996	9.32672976729295
SRX3159656	0.9488876912723246	9.008529735823842
SRX3159657	0.7765533142674653	5.304401114768633
SRX3159658	0.9631862628975519	5.666401601344212
SRX3159659	0.7306298390011211	5.246055593076395
SRX3159660	0.791416259618553	10.34570242061001
SRX3159661	0.6487055575991957	2.722537760996709
SRX3159662	0.6860177736255407	3.742805926376859
SRX3159663	0.4643000560514271	3.1205954166855605
SRX3159664	0.631104920723456	2.9494295718116588
SRX3159665	0.5317929254137332	1.8362876343985304
SRX3159666	0.6036615485250679	2.4153937374641616
SRX3159667	0.5139382143271485	3.077794710811197
SRX3159668	0.6598244825925575	2.5781954438196912
SRX3172761	2.5681627209459172	15.43861603220278
SRX3172762	2.6392176520068324	16.39545498580664
SRX3172763	3.2033172256536235	20.478102356554814
SRX3172764	1.6100784258770138	14.078835915976375
SRX3172765	1.2579930553732395	14.000816712762516
SRX3172766	2.837102579898902	16.287572095230843
SRX3176780	2.0647517407079135	14.390451083263878
SRX3176781	2.2972728829052858	14.3452095524239
SRX3176782	2.0482101533117882	16.765822242519757
SRX3176783	2.8706139887564315	21.214055826115615
SRX3176784	2.84510718656917	28.19408607945902
SRX3176785	2.5494687742938584	31.877836597193955
SRX3176786	1.9678182795907262	37.89253214979849
SRX3176787	2.841038860073462	41.978401037078534
SRX3176788	2.7912310189202008	45.48941970200234
SRX3176789	0.8175626185946022	2.3548009783899295
SRX3176790	0.6772632144526479	3.073855072552403
SRX3176791	0.8596031779498963	3.275187967590645
SRX3176792	0.845726536498281	5.353434190605159
SRX3176793	1.3163135709618332	7.204623773058664
SRX3176794	1.2396414642114975	7.001676329992528
SRX3176795	1.3667289127228657	13.283901441143259
SRX3176796	1.3427830253196973	19.508117994081058
SRX3176797	0.6705823632964513	14.607236468846557
SRX3176798	1.6673413153642842	8.526240175601579
SRX3176799	2.330859036445528	12.685867113745685
SRX3176800	2.343370832802595	15.741429821970119
SRX3176801	1.3784159337140998	19.10966537547331
SRX3176802	2.2071048031283085	29.210528140893764
SRX3176803	2.0729521546376337	35.01945397525897
SRX3176804	2.922495094042452	41.957231386456606
SRX3176805	2.2826608508871176	43.150243617010396
SRX3176806	1.4620803654744425	25.514534895147875
SRX3176807	1.0421225514362953	3.6655297777444606
SRX3176808	1.21221761618905	4.8904185637946975
SRX3176809	1.3409533593188023	4.660045937371365
SRX3176810	2.72165941575184	8.37576958419692
SRX3176811	1.4802678967809462	7.978095204494741
SRX3176812	1.7899603000699416	10.715504565767107
SRX3176813	1.691604950336984	12.691967377423804
SRX3176814	2.2031116747683672	22.18712653109415
SRX3176815	4.149126403840309	37.587154888498596
SRX3211301	0.3922162136400182	2.9574975938841495
SRX3211302	0.6862581867549866	3.047218368169002
SRX3211303	0.3380629182527316	3.653833084031227
SRX3211304	1.6155770831498086	5.145064064418585
SRX3211305	0.9107410585249406	3.9685365183847643
SRX3211306	1.1480701156639934	6.007430292960568
SRX3211307	0.8708739317502151	4.124819140934786
SRX3211308	1.1839790752436867	6.563467553741709
SRX3211309	0.5331153979058453	4.435395492466419
SRX3211310	0.9334705971470646	5.179270882042132
SRX3211311	0.5587449821323208	3.746374904328985
SRX3211312	1.1269744863962161	5.646432360004069
SRX3211313	0.7880507928518401	4.714787554454753
SRX3211314	1.1163427912022343	5.289993572514041
SRX3211315	0.8938530959006139	3.40792695341662
SRX3211316	1.0359193172144243	4.62229302721195
SRX3211317	0.6222933539309815	4.5282798025923645
SRX3211318	0.9164268832315888	3.830057442793975
SRX3211319	0.9483855403367686	3.764487929962114
SRX3211320	1.1833254553052905	3.9848982858031725
SRX3211321	0.8698744155614913	5.712786471391907
SRX3211322	0.7927845742186823	2.5958307271964163
SRX3211323	0.5156776260562412	3.5607582838522265
SRX3211324	0.6176683742218867	2.939631171746621
SRX3211325	0.5806843041381278	2.8151957808634798
SRX3211326	0.7688997354917574	8.110168891620686
SRX3211327	0.4025744576800076	2.613958057346472
SRX3211328	0.643577705781916	11.702318440723591
SRX3211329	0.4437265328374459	2.9373243754357747
SRX3211330	0.8984355743609254	3.9643869546025687
SRX3211331	0.46119357373397196	3.111608877934931
SRX3211332	1.0921581964033926	3.5838665055800734
SRX3211333	0.5361572865420681	2.9591217536327292
SRX3211334	0.9723537305457653	10.057697855681232
SRX3211335	0.7445550333302614	14.331884414134894
SRX3211336	1.0338809307690358	5.212230344876655
