Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
dark_4h_0616_KO_2	12451307	8774752	1207361	587122	0	0	0	0	172466	0	0	0	0	891248	600912	217446	70.47253754164122
dark_4h_1684_KO_1	10173270	3634626	1572232	465930	0	0	0	0	183629	0	0	0	0	3960647	303980	52226	35.727214553432674
dark_4h_1684_KO_2	7633047	2847611	643969	403988	0	0	0	0	108513	0	0	0	0	3365280	230533	33153	37.30634699354006
km_LL_1	11744332	6172690	1418613	419860	0	0	0	0	187840	0	0	0	0	3040454	399557	105318	52.558885426604085
km_LL_2	12923458	9732601	1169042	497807	0	0	0	0	126632	0	0	0	0	646114	560407	190855	75.30957271652835
km_dark_4h_1	9885299	6002771	1683514	646008	0	0	0	0	249288	0	0	0	0	733776	400823	169119	60.72422290919071
km_dark_4h_2	12892591	9119247	950653	821997	0	0	0	0	201907	0	0	0	0	976118	593354	229315	70.73246176815816
light_0110_KO_1	12295793	7045689	1364789	393912	0	0	0	0	160983	0	0	0	0	2784705	429935	115780	57.30162340891718
light_0110_KO_2	13686087	10158216	1432948	394505	0	0	0	0	161993	0	0	0	0	737997	591685	208743	74.22293895983564
light_0616_KO_1	9562722	7166745	379061	545223	0	0	0	0	342947	0	0	0	0	418451	476708	233587	74.94461305055192
light_0616_KO_2	12919964	9628753	849803	809665	0	0	0	0	161327	0	0	0	0	636291	613607	220518	74.52615967041393
light_1684_KO_1	14194683	10296574	1691258	528613	0	0	0	0	198258	0	0	0	0	629677	601560	248743	72.53824548248102
light_1684_KO_2	10487002	6280420	1670989	284824	0	0	0	0	161602	0	0	0	0	1641072	344106	103989	59.88765902781367
post_uv_2hrs_1	10177084	5645014	2364033	394365	0	0	0	0	202073	0	0	0	0	1102199	328250	141150	55.46789237467236
post_uv_2hrs_2	8780357	6895060	295433	476437	0	0	0	0	167431	0	0	0	0	335034	421765	189197	78.52824207489513
post_uv_2hrs_3	9835808	7667848	433479	555799	0	0	0	0	159386	0	0	0	0	382186	465087	172023	77.9584961398189
post_uv_control_1	9492312	5128005	2275192	336105	0	0	0	0	167677	0	0	0	0	1171318	299182	114833	54.02271859584894
post_uv_control_2	11149945	8723919	240119	651676	0	0	0	0	338235	0	0	0	0	369672	522933	303391	78.24181195512624
wt_LL_1	9000373	4615696	899592	316848	0	0	0	0	190120	0	0	0	0	2600051	304509	73557	51.28338569968156
wt_LL_2	10369652	5539628	1001100	392619	0	0	0	0	152508	0	0	0	0	2853643	347264	82890	53.421542015103306
wt_dark_4h_1	11921051	8242220	1233055	665954	0	0	0	0	206466	0	0	0	0	839241	527762	206353	69.14004478296418
wt_dark_4h_2	10582305	3794025	1002266	539907	0	0	0	0	223089	0	0	0	0	4619563	331905	71550	35.85253874274083
