Module	Section	Sample Name	Source
featureCounts	all_sections	light_0110_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/light_0110_KO_2_all.txt.summary
featureCounts	all_sections	SRX15590313	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590313_all.txt.summary
featureCounts	all_sections	SRX15590318	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590318_all.txt.summary
featureCounts	all_sections	light_0616_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/light_0616_KO_1_all.txt.summary
featureCounts	all_sections	SRX15590317	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590317_all.txt.summary
featureCounts	all_sections	dark_4h_0616_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/dark_4h_0616_KO_1_all.txt.summary
featureCounts	all_sections	SRX15590300	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590300_all.txt.summary
featureCounts	all_sections	SRX15590303	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590303_all.txt.summary
featureCounts	all_sections	wt_dark_4h_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/wt_dark_4h_1_all.txt.summary
featureCounts	all_sections	UV_control_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/UV_control_1_all.txt.summary
featureCounts	all_sections	UV_exposure_3	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/UV_exposure_3_all.txt.summary
featureCounts	all_sections	UV_control_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/UV_control_2_all.txt.summary
featureCounts	all_sections	km_LL_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/km_LL_1_all.txt.summary
Bowtie 1	all_sections	SRX15590305	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590305_bowtie.txt
Bowtie 1	all_sections	dark_4h_0110_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/dark_4h_0110_KO_2_bowtie.txt
Bowtie 1	all_sections	wt_dark_4h_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/wt_dark_4h_2_bowtie.txt
Bowtie 1	all_sections	SRX15590315	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590315_bowtie.txt
Bowtie 1	all_sections	post_uv_control_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/post_uv_control_1_bowtie.txt
Bowtie 1	all_sections	post_uv_2hrs_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/post_uv_2hrs_2_bowtie.txt
Bowtie 1	all_sections	dark_4h_1684_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/dark_4h_1684_KO_1_bowtie.txt
Bowtie 1	all_sections	SRX15590319	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590319_bowtie.txt
Bowtie 1	all_sections	UV_control_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/UV_control_1_bowtie.txt
Bowtie 1	all_sections	UV_control_3	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/UV_control_3_bowtie.txt
Bowtie 1	all_sections	dark_4h_0616_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/dark_4h_0616_KO_2_bowtie.txt
Bowtie 1	all_sections	SRX15590308	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590308_bowtie.txt
Bowtie 1	all_sections	km_LL_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/km_LL_1_bowtie.txt
Bowtie 1	all_sections	SRX15947815	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15947815_bowtie.txt
Bowtie 1	all_sections	light_1684_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/light_1684_KO_2_bowtie.txt
Bowtie 1	all_sections	light_1684_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/light_1684_KO_1_bowtie.txt
Bowtie 1	all_sections	SRX15590316	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590316_bowtie.txt
Bowtie 1	all_sections	wt_LL_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/wt_LL_1_bowtie.txt
Bowtie 1	all_sections	SRX15590300	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590300_bowtie.txt
Bowtie 1	all_sections	SRX15947812	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15947812_bowtie.txt
Bowtie 1	all_sections	UV_exposure_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/UV_exposure_2_bowtie.txt
Bowtie 1	all_sections	SRX15947814	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15947814_bowtie.txt
Bowtie 1	all_sections	SRX15947816	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15947816_bowtie.txt
Bowtie 1	all_sections	SRX15590303	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590303_bowtie.txt
Bowtie 1	all_sections	SRX15947813	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15947813_bowtie.txt
Bowtie 1	all_sections	SRX15590313	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590313_bowtie.txt
Bowtie 1	all_sections	UV_exposure_3	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/UV_exposure_3_bowtie.txt
Bowtie 1	all_sections	SRX15590304	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590304_bowtie.txt
Bowtie 1	all_sections	SRX15590314	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590314_bowtie.txt
Bowtie 1	all_sections	km_dark_4h_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/km_dark_4h_2_bowtie.txt
Bowtie 1	all_sections	SRX15947810	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15947810_bowtie.txt
Bowtie 1	all_sections	SRX15590317	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590317_bowtie.txt
Bowtie 1	all_sections	SRX15590302	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590302_bowtie.txt
Bowtie 1	all_sections	light_0110_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/light_0110_KO_2_bowtie.txt
Bowtie 1	all_sections	SRX15590311	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590311_bowtie.txt
Bowtie 1	all_sections	SRX15947806	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15947806_bowtie.txt
Bowtie 1	all_sections	SRX15590318	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590318_bowtie.txt
Bowtie 1	all_sections	SRX15590299	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590299_bowtie.txt
Bowtie 1	all_sections	SRX15590310	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590310_bowtie.txt
Bowtie 1	all_sections	post_uv_control_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/post_uv_control_2_bowtie.txt
Bowtie 1	all_sections	light_0616_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/light_0616_KO_1_bowtie.txt
Bowtie 1	all_sections	wt_dark_4h_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/wt_dark_4h_1_bowtie.txt
Bowtie 1	all_sections	wt_LL_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/wt_LL_2_bowtie.txt
Bowtie 1	all_sections	dark_4h_1684_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/dark_4h_1684_KO_2_bowtie.txt
Bowtie 1	all_sections	dark_4h_0616_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/dark_4h_0616_KO_1_bowtie.txt
Bowtie 1	all_sections	km_LL_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/km_LL_2_bowtie.txt
Bowtie 1	all_sections	SRX15590312	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590312_bowtie.txt
Bowtie 1	all_sections	km_dark_4h_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/km_dark_4h_1_bowtie.txt
Bowtie 1	all_sections	post_uv_2hrs_3	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/post_uv_2hrs_3_bowtie.txt
Bowtie 1	all_sections	dark_4h_0110_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/dark_4h_0110_KO_1_bowtie.txt
Bowtie 1	all_sections	light_0616_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/light_0616_KO_2_bowtie.txt
Bowtie 1	all_sections	SRX15947809	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15947809_bowtie.txt
Bowtie 1	all_sections	SRX15947808	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15947808_bowtie.txt
Bowtie 1	all_sections	SRX15590306	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590306_bowtie.txt
Bowtie 1	all_sections	UV_control_2	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/UV_control_2_bowtie.txt
Bowtie 1	all_sections	SRX15590301	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590301_bowtie.txt
Bowtie 1	all_sections	light_0110_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/light_0110_KO_1_bowtie.txt
Bowtie 1	all_sections	SRX15590309	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590309_bowtie.txt
Bowtie 1	all_sections	post_uv_2hrs_1	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/post_uv_2hrs_1_bowtie.txt
Bowtie 1	all_sections	SRX15947807	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15947807_bowtie.txt
Bowtie 1	all_sections	SRX15590307	/home/annie/Documents/modulome-nextflow/aws_results/bowtie/SRX15590307_bowtie.txt
RSeQC	infer_experiment	UV_exposure_3	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/UV_exposure_3.infer_experiment.txt
RSeQC	infer_experiment	UV_control_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/UV_control_2.infer_experiment.txt
RSeQC	infer_experiment	dark_4h_0110_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/dark_4h_0110_KO_2.infer_experiment.txt
RSeQC	infer_experiment	km_LL_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/km_LL_1.infer_experiment.txt
RSeQC	infer_experiment	SRX15590317	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590317.infer_experiment.txt
RSeQC	infer_experiment	SRX15947809	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15947809.infer_experiment.txt
RSeQC	infer_experiment	SRX15590310	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590310.infer_experiment.txt
RSeQC	infer_experiment	SRX15590303	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590303.infer_experiment.txt
RSeQC	infer_experiment	SRX15947807	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15947807.infer_experiment.txt
RSeQC	infer_experiment	SRX15590300	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590300.infer_experiment.txt
RSeQC	infer_experiment	SRX15947813	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15947813.infer_experiment.txt
RSeQC	infer_experiment	post_uv_2hrs_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/post_uv_2hrs_2.infer_experiment.txt
RSeQC	infer_experiment	SRX15947808	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15947808.infer_experiment.txt
RSeQC	infer_experiment	wt_LL_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/wt_LL_1.infer_experiment.txt
