,S_mean_std,A_mean_std,count,L2_norm
0,0.005438829900524332,1.5450184965725927e-16,100,2.1982669475564776e-15
1,0.004033455047277781,9.178938164643586e-17,100,3.0372648657607347e-15
2,0.002692584457843011,4.668007055779156e-17,100,4.065493967783316e-15
3,0.0035521023789273766,7.884619072013311e-17,100,1.5918144619841293e-15
4,0.004426736797130485,1.0268440512749407e-16,100,2.981695671934114e-15
5,0.002755218244115781,7.564709758283997e-17,100,3.920050619838704e-15
6,0.002641285787592695,5.87867339037025e-17,100,4.431812144855156e-15
7,0.0034341521854878293,8.021991897353915e-17,100,2.9244640742924902e-15
8,0.0027480444752928973,7.502639547466507e-17,100,1.950744215754796e-15
9,0.0043458883765236335,9.898724658839591e-17,100,7.62006594176493e-15
10,0.00389073548246937,9.783191077263412e-17,99,1.9818267931736244e-15
11,0.0015220192202804277,3.2739379500681034e-17,100,3.425691258987164e-15
12,0.0043524576734676815,7.757236878594801e-17,100,5.575366575216248e-15
13,0.002929427449760224,5.727284939410441e-17,100,1.951062619103685e-15
14,0.0028020597700451687,5.5072394647971007e-17,100,5.5866895595687875e-15
15,0.004122040400686598,1.0904114621521678e-16,100,1.0403568822852745e-14
16,0.0033822767930901587,1.0051442686752719e-16,100,2.3096760923410208e-14
17,0.002517312516994216,5.884934933033787e-17,100,3.895558984679483e-15
18,0.004620176910606582,6.913429244939698e-17,95,6.893749754831161e-15
19,0.003519917107095226,7.314083389492977e-17,100,1.4628899044495415e-14
20,0.004531272228817691,9.993452736022403e-17,99,7.358046198214386e-15
21,0.00512086337894757,1.0406868439507744e-16,98,8.138550777877831e-15
22,0.004610981259755706,1.0411306605068812e-16,100,8.37308470735842e-15
23,0.004984696394998396,1.0807895290449095e-16,98,1.9961491080204167e-15
24,0.0042786389074651165,8.780914079331682e-17,100,3.75283978603155e-15
25,0.0021084299011245376,4.344596741777053e-17,100,4.909262129227626e-15
26,0.0045897471302550645,7.765592257562089e-17,97,8.180303839666842e-15
27,0.006167136527225523,1.0344014848446363e-16,94,8.535916637231687e-15
28,0.005042364588360203,9.714262495644681e-17,94,2.530033868812126e-15
29,0.003498722307303372,7.720427097827884e-17,100,5.690535204535325e-15
30,0.0047932513402528,9.597058580396865e-17,100,7.161729897535411e-15
31,0.001938606871259032,3.757862280805974e-17,100,1.861784072623567e-15
32,0.005400179911427774,9.927254532457562e-17,98,2.6236899895641846e-15
33,0.004811118651900096,9.393216376800569e-17,100,4.779652377901333e-15
34,0.0029269689335430947,7.431849558369127e-17,100,1.6570864956503577e-14
35,0.005304604635789428,1.0244198347838997e-16,85,2.000752555652636e-14
36,0.0015133414959963582,2.6768470680266695e-17,100,3.235177491087448e-15
37,0.004538734792921037,9.66910422673134e-17,100,2.935163783984258e-15
38,0.0024671878272780074,5.210981841834388e-17,100,1.4853945663709032e-14
39,0.005586958057546561,1.3969448767782307e-16,92,1.5709332651315941e-15
40,0.004960973328831823,1.5504296743578328e-16,100,1.678364316401029e-15
41,0.005386617031078321,9.918666292367078e-17,98,5.5526209326873846e-15
42,0.00325210577347777,6.126168295146928e-17,100,4.918028956602344e-15
43,0.005271453544062618,1.1847100203125522e-16,100,4.3677347800116905e-15
44,0.004090415686827007,7.688732048600889e-17,100,1.1376318487626912e-14
45,0.0027125760515446786,5.1836770263145716e-17,100,4.453425325764055e-15
46,0.003836358530101141,8.63925868311585e-17,100,5.904362502628527e-15
47,0.005667319390881651,1.1024218178826937e-16,91,2.8087851626643246e-15
48,0.003288606078713193,8.441911037156322e-17,100,1.736793282618883e-14
49,0.003355398987628787,6.040442058970716e-17,100,3.636536586700671e-15
50,0.003775166202763666,6.664583759276514e-17,100,2.9857660740667854e-15
51,0.003067419467734053,6.365551341383392e-17,100,3.62861016955778e-15
52,0.003594249218302521,7.716249604615567e-17,100,1.2977237549163786e-14
53,0.004042588301403071,8.732172139477875e-17,100,5.4256291082979576e-15
54,0.002652346666767187,5.919223745512756e-17,100,4.719005355864073e-15
55,0.004725730400708763,1.0385779262383752e-16,99,3.705940861404455e-15
56,0.002327502578223488,4.9230915872853437e-17,100,1.0754177076631308e-15
57,0.003684384587041764,1.162146969003847e-16,100,5.706834065543766e-15
58,0.0026478714379790727,6.220444411550184e-17,100,1.7492796648673606e-14
59,0.005514533714644582,9.055795214181005e-17,90,3.806307089869806e-15
60,0.005142707779871532,1.1767246003717926e-16,99,3.4958819627707528e-15
61,0.002653796135009081,5.762107475713636e-17,100,7.73723542906191e-15
62,0.001543164482001055,2.551056685970957e-17,100,2.8558963893303407e-15
63,0.005671302402688269,1.1142727840727353e-16,100,6.927083067764294e-15
64,0.003796832086308527,8.822790742965881e-17,100,5.2840898403871196e-15
65,0.00473963621028306,1.0513635044168422e-16,100,2.2192291215119096e-15
66,0.0015022939421149956,2.839760014112873e-17,100,8.703800112271138e-15
67,0.00262323452342282,5.823020593306571e-17,100,8.740788961817842e-15
68,0.004862841607056654,1.0546599786457401e-16,100,4.060300804171388e-15
69,0.0029868201692838867,6.580128632153819e-17,100,1.1376513290106256e-14
70,0.0038017285327743926,8.932280093379545e-17,100,3.604695937056043e-15
71,0.002587174370545852,5.864604177136817e-17,100,4.230597594812348e-15
72,0.005902523928458618,1.1662456699688732e-16,64,6.745415900467779e-15
73,0.004149779840323377,7.489870929695666e-17,100,3.4352171372312445e-15
74,0.002316450660071831,5.662132286830059e-17,100,5.610144336793272e-15
75,0.0019337900524650242,3.6986151554766304e-17,100,4.8913677550684274e-15
76,0.003152776308952391,7.498760163267551e-17,100,2.8772998025367823e-15
77,0.0033057660038129737,6.116431184530448e-17,100,3.3070062758970224e-15
78,0.0017987308114050665,3.6237495580839356e-17,100,2.352057786707077e-15
79,0.005018435893035111,1.000770891679069e-16,96,1.0385965314576054e-14
80,0.0027336603680553524,5.588447788970456e-17,100,2.9165614673720013e-15
81,0.0030634723205851754,7.163189926065487e-17,100,2.6901924765733748e-15
82,0.001923164548039776,3.6521709310189906e-17,100,4.3099506848933125e-15
83,0.004728315140953397,1.2053956371541563e-16,100,2.6348565611751734e-15
84,0.002879040509025061,6.22939853405569e-17,100,2.416634264703197e-15
85,0.005352974539429867,1.1886924677647483e-16,100,4.508371966051856e-15
86,0.003541951385024065,1.0698856064795977e-16,100,5.051778347042761e-15
87,0.0026622583826553855,5.018274480331034e-17,100,1.5177679382452012e-15
88,0.004006345454625047,1.1174418452158887e-16,100,8.621315321953838e-15
89,0.004422556411086907,7.258368499973434e-17,100,6.189156622365673e-15
90,0.005025568202218781,1.0354769202469538e-16,98,3.4302905500488225e-15
91,0.004824142045067144,1.1794894429964667e-16,100,1.7295039162280414e-14
92,0.0044345164318579594,9.482958274165506e-17,99,6.200028748762253e-15
93,0.004615164915216062,9.217855667088839e-17,90,5.872594846039629e-15
94,0.00575203627284771,1.0912400809647757e-16,93,6.387378466335834e-15
95,0.0049650008462413095,9.804486157590137e-17,100,6.372544222597162e-15
96,0.00524035837259394,9.795332426424075e-17,97,8.068772247713906e-15
97,0.005727758140977623,1.0881845172367226e-16,85,3.4666524094047895e-15
98,0.005550666080314752,1.2364825814543605e-16,83,4.99338373370455e-15
99,0.005882334055159711,1.3401324774979006e-16,100,6.988618493531423e-15
100,0.0057524733389298505,1.305959665665155e-16,96,7.428841678104612e-15
101,0.005732481408839409,1.2864486860233982e-16,78,3.217023020666213e-15
102,0.00601317185759395,1.7341412572754483e-16,95,1.5730911250618856e-14
103,0.005870301818607474,1.0829902185316932e-16,52,2.0871409108372426e-15
104,0.0058288169467965445,1.0672543698377461e-16,98,8.184148659948573e-15
105,0.006402354387798437,1.1976222440895318e-16,90,5.478542710045654e-15
106,0.005761199626854942,1.180736469049958e-16,51,4.557738334823064e-15
107,0.006201418513311894,1.2602087600967487e-16,51,2.3864029091323273e-15
