Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
HKK26_RS00005,0.02114360846127278,0.0320436065108059,0.0033862274247599086,0.007828490413936696,0.019340820621183745,0.03809355049060274,-0.004307598300061799,-0.008536639297089145,0.02377416154252439,-0.012910042445855094,0.0005716226866209626,0.04469481726227238,-0.023617119263994454,0.006393373551506312,-0.007036211178991972,0.04437587306990459,-0.0006183676588579055,-0.018579698087457193,0.028200471142424223,2.7538163048462864e-05,0.004822421108340377,-0.06339902523063075,0.07331775758738936,0.005023031230174527,0.0010434922993019706,-0.06277246525413818,-0.039859948222596565,-0.009108955407696958,0.00031607736815483946,0.01615569874578898,0.01822473026511144,0.0041200614682452,0.00394795627520724,-0.013862042550898231,-0.022641057348651444,-0.02060929091215962,-0.012683433619201871,-0.004368868486649291,-0.024831584831337312,0.045957252545966866,0.02748115999242726,0.013516728097547136,0.01255711907106225,-0.019199527832165886,0.0070658325555924524,0.011695752517365375,0.019408549483315857,0.0053750279659441095,-0.044260647068728974,0.10643402655871932
HKK26_RS00010,0.012238076453100787,0.0036430811956244605,-0.023526188293459576,-0.011892324593550139,-0.01860885963120349,-0.0206537633886169,-0.01019611390209495,0.1574613163087572,0.008552339611690045,-0.005697649838498431,0.014070212211537578,0.010097672616784084,-0.01438291712224541,0.0007575123662147092,-0.007126932014002265,0.01867468408777513,0.0038821328711621506,-0.01223592998341639,-0.01201695166879778,0.016960219488458904,0.013993211304183456,-0.024154954600210016,0.005546364215088178,-0.014852356622699951,-0.012501803586234504,-0.010755534436960005,-0.028391243427967252,0.0052990834752948725,-0.020693215655524084,0.01932327223599665,0.01681879518717198,-0.009658040081183004,-0.04391392337407655,0.015632429040010307,0.005138528513744481,0.017364703998056053,-0.0007407793048633746,0.02380026243148785,-0.04922516722602277,-0.00313966621021134,-0.00292062822075374,1.8012399955134234e-05,-0.00546407071324035,0.016755558547062458,-0.012143908665424209,0.004153959686083378,-0.012810898046352536,0.015083070781122416,0.004559677247862968,0.024627161329763017
HKK26_RS00015,0.008103890563081405,-0.0065797192450162785,0.002288994229626027,0.00011196228646489625,-0.04794500461294577,-0.029713696678504545,-0.04525247597796426,-0.003801865540991051,0.015459970373012994,0.0030256927469174055,-0.0023413101785368542,0.00575080815303066,-0.00750155548540463,0.021133573351441105,-0.0054190515621212,-0.014024684400064604,0.020372635988085298,0.005900291713817252,-0.014104686765997009,-0.020681043937867048,-0.01970625054836467,-0.006962915511236716,-0.007221649246779333,-0.021619043706174224,-0.0027267931730560724,-0.008238964214859366,0.00727455831527974,0.0027275327168597924,0.006754640129086642,0.020725329089453872,0.022341807001161586,-0.01452908520627376,-0.02580139838167051,-0.0002848170263578126,-0.020614268238113735,-0.014065421894243046,0.021737928097842394,0.0003087977760684361,-0.003354003358281522,-0.021748213064284476,0.009630545876844011,-0.002146227672055283,0.06860771048352489,0.003854064586186243,-0.0394304751009136,0.002121227167322373,-0.021972072731063472,0.009589503548916878,-0.010972121159553585,-0.0011887441944473684
HKK26_RS00020,-0.01007232657831946,0.009765297270991931,0.010304071366124698,0.0007082941151046507,-0.0028122478674379838,-0.03178208572277551,-0.02873324612262662,0.018688310245856724,-0.008057602532344823,-0.004319579610219539,-0.00535068703574168,-0.016295766823718236,-0.005811408996616612,0.04806466390729335,0.007395717030831274,0.013383818825488033,-0.016907225737011245,-0.007069004811986636,0.004542553114550368,-0.02684330996309526,-0.018141140522207156,-0.0022833215590646484,0.0058378696482848155,-0.016778674222578272,-3.3616506014903926e-05,0.000657124046954111,-0.022849110188588373,0.011718073904306337,0.002700977539819131,-0.011088031347733167,0.009083425714082643,-0.03209282170192704,-0.02254287741615189,-0.009269325963663887,-0.003895272480630309,-0.021072679666344376,0.023010889560235594,-0.0028592430695147035,-0.009882250957349152,-0.009534043824691817,0.013533723839920983,0.011772950213583187,-0.021103860975171564,-0.021560541648007983,-0.056749406772148465,-0.008699160522152785,-0.030236011985452126,-0.010611931551519155,0.005647683086143015,0.0007502225174616878
HKK26_RS00025,-0.009037425056065689,-0.0047280608104031145,-0.003582419277548727,0.007668933895037046,0.009021344044266076,-0.09385298135226547,-0.008707913884429836,0.017378148788444476,-0.03789046972035503,-0.0035026685985664486,-0.0033929510445065525,-0.019952180149707295,-0.02768105737027079,-0.009957169854511803,-0.02365365162595073,0.014410727529224343,0.004419720591585337,-0.0005581829392174875,-0.021962732729328256,0.0081090097975926,0.0010169469269170005,-0.011232651929029369,0.03527856831105603,0.02073254171338001,0.013923279902983114,0.031423766406581836,0.01632744625568561,-0.004691184684154744,-0.04451380146268003,-0.006141626347871801,0.008139214329723775,-0.038305466779245526,0.05897879285804703,0.016826346356708058,-0.029171392010468134,0.0013493872748246588,-0.03285296153297492,-0.002303104477596547,-0.016464758146477604,-0.08018321423752575,0.013306761918463887,-0.013935178205237795,0.008647215778268352,-0.013230212224333024,0.007541324300068746,0.03407676276531722,0.06406678947951235,0.050187269218736084,0.04020976258513895,-0.011306951429930469
HKK26_RS00030,-0.015125298445523525,0.007844246671260382,-0.020934728298149137,0.02598172113545134,-0.0002958086734205156,-0.0006593372403430753,0.005016833456493187,-0.03215278040742604,-0.007320958693933699,0.007154322808421525,-0.015542894015738676,0.010188480284485006,0.017140222868520544,0.007575165382324881,-0.01783215847343955,0.00852849895907407,0.0005099748722959251,0.026064538649697128,-0.016078130108132527,-0.021920331486569397,-0.0014429663204132762,-0.015326389652621645,-0.012014239374763692,0.01833472153321403,-0.024270172175526742,0.0030102795509693594,0.0017032297852119741,0.017395837630932522,-0.03165426086477225,-0.0006179884742294368,-0.001553493534111953,-0.012564142907158564,0.009987448035866764,0.001818281367476152,-0.02711890780322112,0.023150427858903467,-0.028281901502940535,0.021464355111519604,0.0017356355493438626,-0.0016541046202910032,0.03206610771870666,0.0012196513713043046,-0.006247211012998225,0.014133495695723024,-0.03011018590173871,0.030768554498099555,-0.0053826486371590515,-0.0025917065405968247,-0.021367301839409214,-0.02628849603123118
HKK26_RS00035,0.021332033872717936,-0.011405972274991724,-0.013871913770443823,-0.008900010934794225,0.0031186869406466637,0.018333905346828844,0.010683946705657232,0.0055927108773556585,-0.012518696594014864,0.013631588365409682,0.01231069270553692,0.02043565463627349,0.012754936011810358,-0.0009029407341910972,-0.012726835592797586,-0.0018708792634568893,0.033268459312322675,0.014837408071112432,-0.014508348031286184,0.02310242357963359,-0.006479192368718234,-0.004487334208286795,0.10361812554008808,0.03333914074729946,-0.02509653835067533,-0.02664711255467425,0.007590279853769981,0.009388982056105501,0.0008179469056390656,-0.0013785941501452614,-0.00034164877963913424,0.024977498815439106,-0.04407532168123192,0.01987537728403557,-0.021677537062595478,0.017285518078643754,0.004537923629783909,0.04150190810887433,0.05328515771582932,-0.008035108572667421,-0.002407299219559709,0.01089708595306533,0.0038537510498811716,-0.019330239957198878,-0.018219674074820603,-0.006736291869286139,-0.009627274390431281,0.08463418604824473,0.010806755358896728,0.004400073809846303
HKK26_RS00040,-0.024510079034935513,-0.015071991712400479,0.06571131523557354,0.01816502380530861,-0.026797043092325157,-0.010869748856276448,-0.0016072127610867874,-0.002492336884089037,0.03820312538078232,-0.005238010088327841,-0.015816015604964227,0.021473185658718127,-0.014127988663270901,0.00462205715828625,-0.006614907728738895,-0.0026603216260373923,0.007190271890929533,0.009958853447473838,0.001313061183704427,-0.002307764540817971,0.002568609197799772,-0.013259718548377146,-0.0026379595450164027,-0.008634131252791917,0.006942904249050677,0.023835453472234373,-0.0021888041661382155,-0.016203405385895063,-0.015494968115360329,0.004915726336171365,0.009669186659431263,0.0010090495376801883,0.012828826223606945,0.01013998549047686,-0.01074407824982926,-0.0033268275272455485,0.02015960149888786,0.029658864372771595,0.006487263095138302,0.01588537183375865,0.0018195319636245223,-0.0016489863475889794,-0.0032688269246147787,0.006179709189140733,-0.00427893600936615,-0.03843458955353348,0.002962538410381089,-0.014469653951801519,-0.0168588164243303,0.0216232195078256
HKK26_RS00045,-0.009799085561777698,-0.015701719258938526,-0.009211213577138385,0.000648533863629058,-0.030701574700039487,-0.010732474014090387,0.014223503244425244,0.03981898322707275,0.009138446337494008,-0.009576414581711552,0.013405036088267994,0.024819822423994675,-0.0472049365119011,-0.00291533301365411,-0.002518753315484817,-0.012492313256769796,0.00439116839952969,-0.0034223556446505293,-0.03091866034098118,0.012078636281732683,0.006967111248509502,-0.01897843413977326,0.050358386898963374,0.00998673235127151,0.012263456915827949,-0.007623867265189081,-0.012541813026890782,-0.0013268185085942496,-0.024775793414718875,0.020660810528762924,0.005491721671248572,0.07744030657836601,-0.021474188298383302,-0.0061546184784500675,-0.016798985240732173,-0.025860686916513127,-0.019214822613105947,0.015032853638914864,-0.025787458442010098,-0.005508799357332288,0.00657057864154448,-0.02492665094175744,-0.02605418237963938,-0.00731265581407432,0.008477291898608486,-0.0047933116344683864,0.05908228893503852,-5.260924004415407e-05,0.0197695175590781,0.003952576903731825
HKK26_RS00050,0.0196802163761704,-0.0145940093380477,-0.005822155568888242,0.025830701147428657,0.023411243803115357,-0.00781032051549222,-0.0016015023722023725,0.006158312410704344,0.025195335015555615,-0.005786744975053188,0.008993386069354943,0.034436305049128174,-0.01586377808408017,0.02012279299024961,-0.01883196699528644,-0.0035273442221857372,-0.000182791596535327,-0.021139606269491507,-0.013225237083226295,-0.00959834045935887,-0.015405044906424232,-0.034142519210003594,-0.006187319439837767,0.00454270966113143,0.014503573580489431,0.014421088619916604,-0.015592631912275556,0.0338508749496437,-0.04911020346097199,-0.0010095451369081443,-0.00949068095240241,-0.024262753732165927,-0.005287325912466672,0.0004204795629015948,0.011235783688271314,-0.028632278104036662,0.012370103765821308,0.018350764059428995,0.03242245296886952,-0.0029977265809607474,-0.007730571524113756,0.0019390055660750737,0.03143596112816133,0.02909937047526159,-0.013094903342909176,0.001949668053492771,-0.017876079775960795,-0.002152862924877492,-0.014988751479381874,0.004089679484326907
HKK26_RS00055,-0.01088757844002106,-0.00824493698980218,-0.027333341663358546,0.0062144995946293,-0.006760528155931415,-0.02815156766022264,0.01821816945332844,-0.00576596472245098,-0.044321574558422935,-0.007439699558376197,-0.0011343897191339002,0.02118972374082457,-0.0052261808403246,-0.00907347713686573,0.014019588676556862,-0.009161294356368515,-0.008308826729974537,0.012491921032334005,-0.02344138468898058,0.03750998363542121,-0.009476390472729997,-0.009406687580581828,0.000810855215901648,0.00930426313229627,0.007165551408298998,0.03457600254570997,-0.0025065614019767228,-0.015623317059037151,-0.019520364468230553,-0.02743800302763629,0.007732338082018194,0.014622265440175659,0.0007583594598547422,0.016223897426068244,-0.04607143521879476,0.0008944439568136277,0.0020518345972238426,-0.012144158341952215,0.0201357384470443,0.004263791735160849,-0.013249149220040637,0.011348596798095358,-0.0013501579671778528,-0.01858199020749164,-0.014009701496836348,-0.020651197387862297,0.003973377015266961,0.0016336707949972506,0.001710164028545331,-0.02083640560995225
HKK26_RS00060,0.00979259625345239,-0.029950438454102838,0.004264648966849531,0.003277168707738294,-0.04078373254759216,-0.00517134300892175,0.001986656159821421,-0.007665239421971802,0.03898527187223115,-0.01272651899198257,0.007524243550104678,0.030644218456789562,0.03235503339302233,0.028961537032392536,-0.018951133708701058,-0.016345935938049526,-0.023095259091904498,-0.00966419995648721,-0.03867577778580455,-0.014733376627074891,0.005297059978509956,-0.03679361392306461,-0.008050398749540612,0.00789416535257207,0.0032892896706743784,0.008384566064335248,0.01472541918834842,-0.02550264995777514,-0.01924685012907476,0.019352304284825872,-0.01206503894401207,0.004062628427191537,-0.08897299104131853,-0.023419824803573484,0.017968583958463416,-0.03295872999078655,0.006726753747280387,-0.0007594594631183348,-0.017296311771224943,0.006284941932318944,0.042869226285228136,-0.03458880137665294,0.016012780992682992,0.0460502469809424,-0.08232687942561837,-0.02842798054130457,-0.03793299487315067,-0.008106359100313567,0.00146163380746249,0.01976682380902499
HKK26_RS00065,0.026055106639314762,-0.016742150197274375,-0.017493696680906487,-0.013937418246630391,0.005958389319357477,0.012075624054856156,-0.006398995109192577,0.0053277079255579654,0.005308232779548629,-0.02799532691108262,-0.01907411812976787,0.02715787857872105,0.012113691364445433,0.0005892660798941444,-0.010595944867670291,0.010851165910438316,-0.004268855924423554,0.007056041603301238,-0.009606291542968957,0.002121124982718166,-0.07123056732202952,-0.013115401068689603,-0.030261913429313943,0.026287033612194213,0.01386996299102362,0.4143909670999622,-0.011631930805698649,0.01534582286203856,-0.003840133965489526,0.011495233280387625,0.03206460992206088,-0.0019363679171299545,0.02117233327416196,0.01172656833877922,0.008046219543995087,-0.001510063604440651,-0.02002690393510338,0.015396145697334189,-0.02966249440480159,0.01144193801148441,0.021595097937603183,0.017266659449163838,0.04330247896169289,0.04103239221334883,0.005674951251533339,-0.0004757676393327572,0.007070129667586218,0.006136200240538475,-0.004172070837946405,0.0668017796084812
HKK26_RS00070,0.007898567306178744,0.0012831762767515616,-0.017462777112644552,0.001411498863304326,0.01044301171152173,0.028998441046016014,0.003652422660867108,-0.002413116152675168,0.0014673088428414,0.0008692288035432286,-0.0047192021577208984,0.020185250427504832,-0.0022688581642697162,0.002866803539114512,0.0037743916186432,-0.0026997651903427847,-0.011487301870703206,-0.010493163492242795,0.008920831651064345,-0.0009675336700400466,-0.027421981471351203,-0.014266823396451347,0.002592884869108049,-0.002780461697573965,0.012028629556000488,0.2677392954138702,8.080316738009238e-05,0.017703486794661882,-0.020839215730279817,0.007763825308833453,0.0013548728723947708,-0.02138367199812301,-0.0022343508684990842,-0.021089096755913077,-0.001044953738016254,-0.00615970756661712,0.0026440210681846865,0.008157452906086956,0.01494526629953559,-0.00974063277484934,0.019882683101053587,0.022379008385688,-0.002252216415818985,0.01799393823018098,0.0017006709180543006,0.010608825455083471,-0.00909494531595508,0.0794411450482682,0.01005395701421565,-0.006208427433000677
HKK26_RS00075,-0.012338016891709153,0.01616696670277883,0.01392222016117634,0.016640084836512102,-0.007026213044964854,-0.005214365302874541,0.002976196882255722,-0.001736959631186853,0.014648836987668269,-0.008177852882387752,0.009802044845309886,0.012215126960050261,-0.01963941514105137,0.01144703189337894,-0.013787663476047646,-0.02326204872758007,-0.03267288026245056,-0.0008477984421924027,-0.016514787638273628,-0.021200363541575666,-0.006723777355334138,0.007581112746998229,-0.021617252650330473,-0.009045756426088633,0.008270603947925082,0.25367989859795437,-0.014957525302323233,0.0022295736111941043,-0.005961071935265519,0.002899987354299693,-0.01067471761214674,-0.021825792811773805,-0.005527897734376887,-0.0007399356606813362,-0.005436885076242798,0.004689820910828692,0.0013651368963522976,0.008003128676079142,0.009675188024179692,-0.013031564662007626,0.005604805950469942,0.006257758713784921,0.005697603924743478,0.0019143574816705507,-0.025384880990803906,0.018427957655896707,-0.022317683855648928,0.005519735954248479,0.005191994529009408,-0.007862923750899847
HKK26_RS00080,0.0010233978096859497,-0.009646574941569112,-0.05820272483867648,0.03666968766091518,0.004878396481906905,-0.015807748119444947,0.013397695584577391,0.00829912345777689,-0.01550014100651798,0.0022097696430308945,-0.017085644724143517,0.018488683577835025,-0.004785994388077137,0.011603051129810528,-0.0013878474858247958,0.0001944470632745341,0.010604186856537128,0.01961843589289856,-0.023217530713016913,0.02219801422072815,-0.025427062323748643,-0.017352303578693152,-0.009696869232408685,-0.011251629314232266,0.0031730211734938936,0.07269027821536592,-0.01973401074629048,-0.018682561763389,0.014207730756381466,-0.010036846449492789,-0.022495990479466838,0.027570542283467794,-0.011469177135366375,0.03894051925201471,-0.0023839969481933053,-0.011040916983383598,0.0028227016031508833,-0.03811994084976186,-0.01484247607151026,0.002171051953197143,0.0358684801145358,-0.0023604807408051207,0.002255657242229466,-0.010284120498128315,0.04297437632635485,0.0081834549829963,0.003092877674967149,0.04666704955719337,-0.002459943536026052,-0.00686030384000961
