Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
HKK26_RS00005,0.0018564423430638183,0.012750920136186901,0.02724411083732266,0.009968499264513618,0.0044787475186816895,-0.027992863796563194,0.007977416953262553,-0.006052904940605925,0.005964795782332063,-0.051428494325929684,0.018279021637673122,0.0049067440086123645,0.01464549127494845,-0.015832755191154332,-0.030396321709509913,0.03848887821538001,-0.027376566632466064,0.01448146831126646,0.02014586443905142,-0.0034223001252570513,0.01327562764326992,0.062002971437665914,-0.014697442266263912,-0.005416766246005609
HKK26_RS00010,0.0219121401845517,-0.006868275584526293,-0.014663129871483884,0.018769961998737286,0.004485908635055148,0.039942615708040995,-0.006576711160912375,-0.004616923792225949,0.006485657350462324,0.009971610237346239,0.008601181909129252,0.020714684269078985,0.09797459372633545,-0.01637739648374456,-0.01989625956016945,0.006548041821134826,-0.011931818136101413,-0.02370240266835471,-0.008853295555952984,-0.03569621778466062,-0.0011043784247587033,0.005337604319675737,-0.03061691942190949,9.906383200753338e-05
HKK26_RS00015,0.04054747000770539,-0.008838474600829904,0.03678214351575744,0.052445484991407255,0.011155779997394914,0.03436917640358416,-0.017634632411812862,-0.030504502818118277,-0.02857496453023365,-0.012798171937193147,0.026545999591404298,-0.005274149066242706,0.04233517756968434,0.00426049626763846,0.0003902544212794462,0.0035583100474138253,-0.0004274658332433474,-0.001224680124816586,-0.018393870910678702,-0.0062503041222457265,-0.02175851552776962,-0.008186360431148563,0.03170866288137481,0.019354069906646534
HKK26_RS00020,0.04797556255777588,0.019890834760516795,0.004683831235414956,-0.012459765195941124,-0.013369167735627565,0.015089168969317855,-0.01606763482830445,-0.040406863764658435,0.018371409013485555,-0.02235256127638901,0.04950563503529466,0.037946870701048914,0.05590180303804747,0.018099012348541076,-0.009872395160413105,-0.010250914078438499,-0.03363202942681821,-0.0030532598037219206,-0.027698813602622066,-0.01648063824261671,-0.011043236756322114,0.0030056149839301355,-0.0022309478623366388,0.04233126157759332
HKK26_RS00025,0.043969419579943096,0.02677173189903813,-0.022635001847147323,0.02402656109228466,-0.02015958454580986,-0.0028001218937544715,-0.028472319193402346,0.0020090270358014235,-0.013497471099254612,0.0008465507698470232,0.03403139811850064,-0.0076417175826851876,0.002487577460858934,-0.007910738407302055,-0.02754479707307678,0.006215132146166362,0.03509364894862433,-0.023534669196408647,0.007558888087414605,0.0051146129635138374,-0.00032971705347975886,0.032226799119079816,0.007559504690950771,0.022669772378057628
HKK26_RS00030,0.0463321073125194,0.013197718400558018,-0.0003772092031447121,0.02904740093472494,0.022440342153412535,-0.0020584231358717568,-0.029971456369579947,-0.003878472040418406,-0.012394059085761964,0.02163428633198759,0.006054429352226509,-0.0021511578148971254,0.005637865496570179,0.011295212410414063,-0.029564510426828727,0.0016014059218547884,0.00031668330578721706,-0.020686720057282545,0.0032543255634954636,0.0018696048388467039,-0.009453499195202789,-0.01880109694234177,-0.001142159039262228,0.012778321231786776
HKK26_RS00035,0.03768608225936637,-0.0013958745641642492,-0.0077299340549659,0.003960523155483295,0.029128421167406243,0.0066729611478105735,-0.0016884083122679517,-0.009440912609946395,0.011080949132803934,-0.0020319222018891575,0.024093386050129218,0.0009986421903869392,-0.015922347511320444,0.009729162388454721,-0.02414730611881731,0.019439608350248307,0.07489097217055059,-0.007596822829059107,-0.0022850416124152056,-0.004071787425815042,-0.02585811084458907,0.10800101774921991,0.023007467793522928,-0.004698948542567513
HKK26_RS00040,-0.007131557480108758,0.021140049756965516,-0.018835497626444046,-0.0017006467984254235,-0.0031627179203230315,-0.011484829434184989,0.005344975293233725,-0.006639921224952675,-0.007599710075935312,0.070076572799728,0.007939923615609377,0.004667683343818276,-0.0070977070295204754,-0.01953193131748974,-0.010291881411575554,0.006591262266673207,-0.007566219788255996,-0.001708054192582722,-0.017728624177649668,0.016488383132329663,-0.010173437977799703,0.006165936024405848,-0.012606532296817713,-0.004511670309165346
HKK26_RS00045,0.006331252671231915,0.021886894611792246,0.01117326513668143,-0.002516147747465249,-0.014974583685440745,-0.009062558961364185,-0.047926704037629504,0.02766279261139117,0.01006200861145476,0.08030501276341574,0.02841269164666688,-0.016644932632106292,0.03321037076934653,-0.02695796387796191,-0.03711938624779099,0.01147844160963432,0.011491260215819182,-0.015183175142722619,-0.0022161483548439886,-0.0012433256375106567,-0.007456459319086934,0.07806274787401293,0.021864328173211062,-0.003111320217913903
HKK26_RS00050,0.0008909915292496844,-0.010270635624241225,0.007750258066471461,0.00026538627750166693,0.029964158576346153,0.003258906904789342,0.0016847940467063537,-0.020766630999062684,0.005691301280162372,0.03979778461227075,0.00781847772272205,0.024402278939601937,-0.0028726181747266077,0.005152091548433996,-0.022665261262962744,0.03193790548938493,-0.015143225136327265,-0.004877332564294262,0.0047220304393582255,0.009192509411894503,-0.010978276389049236,0.0021767395239569846,0.007973823887904623,0.017134419939821968
