Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
HKK26_RS00005,0.023437523228618865,-0.007934168763899385,0.01873163632195632,-0.0012091511632945483,0.03339377496918599,-0.007400421217550146,-0.016622140395811554,-0.027243531701937627,-0.019367194269098713,-0.00477404580178783,0.08404940421201204,0.021323872234611775,0.01653025216224176,0.00503787724473985,0.038856497190254254,0.005113859368586434,0.008248916464968007,0.0038518077205456154,0.001659084831609845,0.0039009261738227547,-0.060052718927461314,-0.00044914432969525906,0.0035340213823173636,0.02107020619196776,-0.00034154570733875957,0.006981867216453584,0.0018277377759163152,-0.0157166272382076,-0.01009531332552417,-0.029168050667482563,-0.033437714354853834,-0.007575984622781223,-0.028191435605771798,-0.018726223912500825,-0.02123767415544349,0.021215655072244943,-0.00903457623175487,0.019980122239728986,-0.009451962036904552,-0.002983476995908402,-0.02120305842563934,-0.00473059042257778,-0.05436098422354504,0.03425716861290755,0.0028388551134481146,-0.005588579279238586,0.017218628017938022,0.004066466062836585,0.035499058679885766,-0.007615600767138297,-0.012011542876556737,0.0001642353411760791,0.03487293738898681,0.016062605598586327,-0.010877003177833192,-0.013555955117440193,0.02830222219531136,0.00232210563067485,0.029261338305721286,0.04476317468961157,0.05140508829150371,0.009512725696688831,-0.004219890798914427,-0.01295234051944178,0.00410881180720202
HKK26_RS00010,-0.01013749321855064,-0.023080812943464216,-0.023040387677439184,-0.02746886964724476,-0.031001560210858287,-0.018373264597634574,0.021116943954122464,-0.040707345426438044,-0.008821359997439498,0.07402013939962655,0.005549056408000994,-0.002706072366161095,-0.021098964652658682,-0.002995989014455406,0.01093484999715234,-0.011580351623351304,0.004068130317143194,0.003871935617195429,0.013236641089056374,0.014534065974139067,-0.024643742879226122,-0.0010961329334517815,0.018796689562773746,0.0006676445942090613,-0.007421427975148203,0.001649998612052603,0.014730092205034807,-0.020605549563532242,0.00823145785585564,-0.023476242786381024,0.012045979120525845,-0.01246024831905683,-0.007692164244868913,-0.007941228219671796,-0.012051957028783991,-0.0005728486209191212,0.0009705069353465631,0.018163271650709516,0.17161564767999668,-0.012146915183006956,0.02618339542280365,-0.021476494990698716,-9.027020342429865e-05,-0.0033848687901485886,0.01022175150572849,0.01134200155993477,-0.0037183646614574383,-0.003076472960053571,0.007861667029693944,0.008700863950269078,0.006258656410985538,-0.018045617456497746,0.012245763168183422,0.02138906223386968,-0.0008169560726474146,-0.015188069917837681,-0.019834651818658313,0.00949137730014283,-0.025118691185552284,-0.005050083975472222,-0.004560232472505006,-0.05913779848511376,0.005481204057579137,-0.008247305974581242,-0.014677331135794072
HKK26_RS00015,0.06776602046952619,-0.008875134626006117,-0.03561649150704127,-0.03478282538569378,-0.0014470865456538576,-0.018919476281846564,-0.012079584191043713,0.010453479860363716,0.011077081265516467,0.009523224032572143,0.0019476772897803407,0.016931090123758458,0.010548631159221021,-0.007893964277947701,0.017764007456083187,-0.026627555244851095,-0.011003032962680731,0.010985648473969016,-0.01033604123059158,0.08578529397847787,-0.0020983796692539765,0.007075483590053975,-0.009423101237640287,0.0007254650039931631,-0.035610444681353985,0.010183267947106826,0.009891661705604298,-0.014875714217639526,0.013623130430185384,-0.009668364228015952,-0.007427245547991016,0.008295324919650234,-0.006089029436365237,-0.025984499992479083,0.004102919198481116,0.005393082975328688,0.00960341579783575,0.012793125618407432,0.001163961225876606,-0.00931649956016656,-0.004377365586170437,-0.016497337670760927,-0.0015715277624087287,0.011444133147328348,-0.021697430579003245,0.017815620037322875,-0.004673798824803721,0.004067050588096858,-0.019783380042675314,-0.007186663969394428,-0.0006091442796903417,0.006157853485781501,0.0002398840906613074,0.007435211054245563,-0.004514256362025373,0.004601051563814476,-0.014160721461925273,0.007102921123059137,-0.003571778547228791,0.019529683177760552,-0.02239644223247992,0.010640642239377688,-0.0029973504056769636,0.010430959114089196,0.000385479732610696
HKK26_RS00020,-0.025519172216776225,0.010750706354682109,0.000376691657557728,-0.011464207649287891,0.01621457994753999,-0.006511192250948106,-0.017335556625314857,0.025914600094732145,-0.009386145779336243,-0.014260401734355532,0.009124758158935105,-0.0077977850389213165,0.009250743793200823,-0.009539510447481234,0.011081192094856133,-0.020491630826882073,0.0031855269188252686,-0.006412067981626798,-0.020197198533602724,0.08560385618826832,0.00263461588003,0.025399972722033475,-0.0009574901611386261,0.008051575198968226,-0.02634923792667414,0.011392409986848524,-0.01130920702720202,-0.00656478171410223,-0.022337969467954695,-0.013938537443660904,-0.0011054706756106186,0.017029301152892754,0.03385986448191535,0.00031284786698317974,-0.026058477731775977,-0.018498622128860803,0.010037199291712982,-0.008013425067865471,0.02083443379649719,0.0013571687818242984,-0.020492874811894893,-0.022892850410801725,-0.015673011212422802,0.07004321438866457,0.004990113028662991,0.017483940121130324,-0.012576505245298998,-0.01045122881503445,0.021798481464193605,-0.024354090233888254,0.006816222650022134,0.006163555877490744,-0.015973624372896022,-0.006906967517399366,-0.026662409346953433,0.007082912250569067,-0.018189995416495873,-0.012163749362935896,-0.0034276508221853597,0.013831209725684577,0.008154032334459237,-0.0026509742495741382,-0.017067828942271813,-0.003596865530341901,0.01591990118118433
HKK26_RS00025,0.005754656708821559,-0.021548387124910157,0.025524472058596676,0.04405461586365819,-0.0028564033780342055,0.02080942036343688,0.005878938071381787,-0.010166239077497061,-0.014511699891950188,0.060875173828508135,0.020560304310764183,-0.03219515157660951,-0.026488609981004444,0.055633196659173996,-0.001293640206687551,0.011658300413864476,-0.0018834790930529089,-0.000797035193000445,-0.007406866601477963,-0.007016111524062928,-0.0007294457116852426,0.0007567082470352317,0.01636218292583321,-0.0240287747998134,0.02167971422644206,0.009918674947682287,-0.030940103874126604,-0.029398873422706178,-0.04922890608538407,-0.020935177019651755,-0.012394464036199822,-0.0003435973837375044,-0.010390340691843535,-0.006497700675750564,-0.0026236853274921312,-0.009658265781301197,-0.011626844090903704,0.015023743668485747,0.0029010734348897367,0.0029104240849484094,0.002636193422961724,-0.034550880312189336,0.027430530970677058,0.03420124665236543,-0.008570285788173596,2.0933191802493865e-05,0.001649326904846967,0.0013077163646630573,0.01976093514040721,0.008711813116530591,-0.00813817586833404,-0.02092303623573402,-0.016053099354168467,0.002129582644549521,0.04289699806668384,-0.04140954840405122,-0.024804924977796107,0.05299916107510296,0.035327314216782445,-0.014478672888899324,-0.08973704654288399,0.02791918057947436,0.015467867988406705,-0.03228326664119443,0.029558673458895124
HKK26_RS00030,-0.016523411467997552,0.011619492795828303,0.004037245214965448,0.00012789099781820105,0.004240398123091163,0.021018819707305635,0.024787876988831156,-0.014562496001113819,0.004534498175554898,-0.0074379715238706064,-0.009793430673469281,0.008749249031307806,-0.01474630744964913,-0.009743202918289787,-0.01738206874630375,0.006120879188886042,0.016470312030734582,0.0022594026520742845,-0.012076755677157134,0.016020376407098372,-0.01869751871270297,-0.003941398572913522,-0.02583879989353688,-0.02070884508805655,-0.026649824585252165,8.312430381170191e-05,-0.02557174755128192,0.015658049787185598,-0.006443693668617106,0.012392799790176491,0.016375286301335744,0.009541043069689541,-0.004101548399147378,-0.033765517493974585,-5.8009337649793216e-05,0.030339601912983065,-0.010384694225337903,0.04093291301607596,-0.01888772292049663,-0.01930349163105892,0.009568359134138234,-0.003332593174014611,0.000527727587285217,-0.006033177378925951,-0.011795462194916997,0.011389605080870734,0.0006131170916488194,0.014404333973405663,0.01896691966503978,0.0240682398073556,0.014158622342019504,-0.030403650169832187,0.004634543708346261,-0.026962594797465215,0.005380638368003142,0.002578643330045514,-0.0080050629473816,0.009083092166421787,0.014263843279581134,0.008091361484821879,-0.003705698726972035,0.00020495275530465535,-0.018686123594906973,0.017355217461250887,-0.0008430250915156199
HKK26_RS00035,0.005135713129579745,0.002465633919573475,0.0038431951587944053,-0.044654228633586666,-0.008626337593891283,0.023723088947857976,0.027031985030324012,0.007827875283300381,0.01795121369202456,0.03104955826061252,0.09738911538478578,0.009120080147636503,0.0033643081944282217,-0.02990952626878528,-0.0010781697466793222,-0.02856836524223372,-0.030207185237611598,0.00017434385887367886,-0.002575534138468338,0.010784954736961321,-0.00021293306018916683,0.001757167257427292,-0.030656671673635207,-0.008009332264492632,-0.01691836720058928,0.019361616104797814,0.020970546060976803,-0.00663046073358338,-0.010058223889316676,0.033304190703097473,0.0059035734635527505,0.01484014605118117,0.012421375475913708,-0.02587863996388069,-0.0038049375619383704,0.009879156156184152,0.0018782217312121475,-0.0341616191784157,0.00741189036784708,-0.027475775858354944,-0.021426335292842144,0.028214888564039187,-0.023707419080142494,-0.006174227948925399,0.006349800910849958,0.03138752887301209,-0.003578491051304606,0.019792709616510726,0.010045249665864633,-0.005913151344441327,0.01203411054546756,0.01931221031989891,0.017267790123459026,0.0030752868136774024,0.032453030781964334,-0.01371288330145667,0.015442392247791013,-0.010016401676036391,0.0052494445356545535,0.006426701836546368,-0.004190046325267448,0.010066353712827691,0.03866972978493668,0.01841175049047763,-0.0028483440232357203
HKK26_RS00040,-0.007443704855709486,-0.004947470070114837,-0.02114432580419991,0.02189692371183375,0.01800331657506693,-0.00225148034495409,-0.009364696154862732,0.02150694502711148,-0.006898960985753936,0.008084414795438664,0.0007475015358113934,-0.011271090432852167,0.02431641282583146,0.015373076762039252,0.03023902479498245,0.006163799049354044,-0.0077612551004292195,-0.00024547400864846804,-0.009381212368014579,-0.007072695102186431,-0.008846517564524481,0.0003331217752487551,0.016040492248869036,0.02201556828295358,0.008336217150523536,-0.025021495427636705,-0.04296353546234329,-0.018445220815749622,0.02363014162988725,0.0012718158245982186,-0.0029797021503395527,-0.014433096633646558,0.009251046835501637,-0.002545604492909702,0.0017516728136191017,-0.0006576036869994405,0.010584659687975942,0.03537732008003297,-0.003635558163462309,-0.00487600463718453,-0.005853889946980995,-0.00625000920582619,0.013118426066164314,-0.007715756147033804,-0.020328550153099,0.023698901508498942,0.0013699116188631904,0.0016018456764608604,-0.029532353538923358,0.018573363197870844,-0.00040684477071782974,-0.00613253479572907,0.012239217058047676,0.004834346415429485,-0.026035200917734473,-0.05377059853297074,-0.004529054025740696,-0.009933774429183535,-0.0035688472422284083,-0.010088044125268012,0.002918301319973345,-0.04013897899391739,-0.01794511679956859,0.005418621535598588,0.008003385009763225
HKK26_RS00045,-0.004119215480623928,-0.0011364120304011224,-0.028742026143531746,-0.011654907896075126,0.012226320272712962,0.0003693489574568165,-0.012085146264028934,0.01056559977470777,-0.005158872924017146,-0.008666972254699831,0.02842377411541549,0.013430063027205485,-0.00204234459073265,0.02417767510653063,0.02872225514642504,0.010594702843355737,-0.003031764113024765,-0.013259092598385692,0.0007146057022883868,-0.001803598284435725,-0.008166533317296268,-0.005019907474366815,-0.02886347660950711,-0.015706402977845244,0.00970082823826772,0.004856781794430146,-0.013837921802230842,-0.03991411709757419,-0.0021097586940374722,-0.03926739667302493,-0.00014656736372164664,0.0008772558695253077,-0.002401843334401282,0.006434017633707247,-0.003793788375070051,0.0015896017230276319,-0.015986239456237065,-0.00773016527748692,0.008306195256249089,0.008343426662077335,-0.014116800975892985,0.06869452021443528,-0.012183730942474928,0.0044351729164805506,0.015930462444676288,0.01711970400623468,-0.004998872577919212,0.009879246661719516,-0.023945344147053706,-0.0017154709928607315,0.01074105825063966,-0.008277892404337728,0.01869717834021163,0.019108690084038097,0.6136959055212978,0.032252575210078266,-0.0028456193115898682,0.020989313785989873,0.017861209954368507,-0.019977188114686743,0.0016440539636659022,0.003928556877337991,0.012068732568586671,-0.008860916472621836,0.0017023850228657857
HKK26_RS00050,0.026566789038122946,-0.03344416344668879,0.03315221109809044,-0.009133099236570198,-0.026607631981528435,0.006817567547949404,-0.023655890913245367,-0.01011779212858403,0.01384382266477679,-0.015605419932172083,-0.000534609531585033,0.0030119640475230565,0.014811311848512785,-0.04162347319478328,0.0057275449982777836,-0.038456732273915877,-0.013205978489131562,0.012523121077821157,-0.019864616868693726,0.0003194107218737135,-0.02812917650992722,0.0018693660927126482,-0.015692807562145906,0.008748413669447659,-0.0184348149955553,-0.022492166020838873,0.02126826455268479,-0.02116415717028594,0.001319271970632149,0.031099930198136776,0.013290672951111847,0.027864996963783348,0.01627090136858613,0.014334781975095195,-0.005314242591474341,-0.016851619706620163,0.008013223863258666,7.925086113424532e-05,-0.006141554054200415,0.011572401273797772,0.008286066572855416,-0.01636099310538809,0.021167986047229883,0.009709829434849507,-0.01636706493526753,0.011782713811065923,0.01660470237379312,0.007083864289625173,-0.007881306212809613,-0.02089595561062764,-0.006622733272070268,-0.022947130233701,0.021466133406807576,0.027017932264610387,0.02359961053927391,0.024724008311555187,0.0038827027786588974,0.01756360140928645,-0.009109617809009195,0.000903321112840563,-0.0013445281996386596,-0.004044203435755184,-0.009102757828456338,-0.03049349493805745,-0.0016867795610883529
