Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX10864013	24098535.0	14596145.0	412.0	560304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8452776.0	470623.0	18275.0	60.56859887955845	24098535.0	23538231.0	97.67	560304.0	2.33	SRX10864013_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24098535.0	0.0	20-50	55.0	40.80364213435335	49.5633839567426	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		2.6	24100718	6725252	24100718	1205035900	1389909	1194434641	0.8797463212506782	0.4447	0.4179	0.1374		
SRX10864014	22707858.0	12505897.0	224.0	560951.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9242749.0	383642.0	14395.0	55.07299279394825	22707858.0	22146907.0	97.53	560951.0	2.47	SRX10864014_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22707858.0	0.0	20-50	55.0	21.36714960867626	49.56262757147768	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		2.6	22709696	6321996	22709696	1135484800	1349200	1125486606	0.8805220466183254	0.4481	0.4079	0.144		
SRX10864015	24101200.0	13155217.0	172.0	547558.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9965809.0	417390.0	15054.0	54.58324481768543	24101200.0	23553642.0	97.73	547558.0	2.27	SRX10864015_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24101200.0	0.0	20-50	54.0	33.60400122390965	49.56132005875226	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		2.6	24103119	6741900	24103119	1205155950	1364812	1194513269	0.8830957520476914	0.4426	0.3992	0.1582		
SRX10864016	24098393.0	13193587.0	101.0	536567.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9938040.0	415130.0	14968.0	54.74882495276759	24098393.0	23561826.0	97.77	536567.0	2.23	SRX10864016_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24098393.0	0.0	20-50	54.0	24.15602890667572	49.56056127892013	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		2.6	24100426	6722733	24100426	1205021300	1451486	1194357922	0.8849119928419522	0.4611	0.3952	0.1437		
SRX11229889	25626153.0	17633491.0	600258.0	2138998.0	0.0	0.0	0.0	0.0	45156.0	0.0	0.0	0.0	0.0	4513091.0	637876.0	57283.0	68.81052727656781	25626153.0	23487155.0	91.65	2138998.0	8.35	SRX11229889_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25626153.0	0.0	20-150	55.0	16.48699167240221	147.0848748542163	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	25632348	9184654	25632348	3844852200	835306	3780421689	1.675760410244118			0.5843	0.0359	0.3798
SRX11313113	27683415.0	13604269.0	731651.0	4992744.0	0.0	0.0	0.0	0.0	56431.0	0.0	0.0	0.0	0.0	7841487.0	426751.0	30082.0	49.14230776802645	27683415.0	22690671.0	81.96	4992744.0	18.04	SRX11313113_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27683415.0	0.0	20-150	55.0	13.768643811348053	147.02474965606663	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	27695425	9983312	27695425	4154313750	1051787	4083373495	1.7076287268866008			0.415	0.0841	0.5009
SRX11402692	24161289.0	5808753.0	1603207.0	2248801.0	0.0	0.0	0.0	0.0	108404.0	0.0	0.0	0.0	0.0	14088680.0	297073.0	6371.0	24.04156913979217	24161289.0	21912488.0	90.69	2248801.0	9.31	SRX11402692_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24161289.0	0.0	20-150	53.0	6.939471390760757	140.33721098241074	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	24300511	13789091	24300511	3645076650	3552314	3406986788	6.531820448823758			0.3781	0.0794	0.5425
SRX11402693	34585571.0	9359599.0	2813466.0	3048445.0	0.0	0.0	0.0	0.0	124549.0	0.0	0.0	0.0	0.0	18739704.0	487833.0	11975.0	27.06214970399072	34585571.0	31537126.0	91.19	3048445.0	8.81	SRX11402693_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34585571.0	0.0	20-150	51.0	8.083442200019492	141.1217491826288	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	34905718	18646753	34905718	5235857700	17553423	4936038351	5.7262700053899485			0.3623	0.0463	0.5914
SRX15590299	6402403.0	4660541.0	26418.0	122164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1295472.0	292921.0	4887.0	72.79362139496686	6402403.0	6280239.0	98.09	122164.0	1.91	SRX15590299_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6402403.0	0.0	20-100	54.0	24.975614484298877	95.8715838412546	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	6570183	1991471	6570183	657018300	37493415	616731784	6.131719009957561	0.0	0.0	1.0		
SRX15590300	7040958.0	5112274.0	23793.0	131967.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1445305.0	325093.0	2526.0	72.60764799335546	7040958.0	6908991.0	98.13	131967.0	1.87	SRX15590300_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7040958.0	0.0	20-100	55.0	24.19851093533663	95.88812459895372	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	7240321	2194942	7240321	724032100	41444218	678330196	6.312137818198944	0.0	0.25	0.75		
SRX15590301	7521525.0	5757946.0	33721.0	122809.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1246156.0	354654.0	6239.0	76.55290649170215	7521525.0	7398716.0	98.37	122809.0	1.63	SRX15590301_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7521525.0	0.0	20-100	55.0	24.16185439501477	95.86829452803786	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	7709268	2301137	7709268	770926800	43294110	724440542	6.029918534418573					
SRX15590302	7042880.0	230991.0	125.0	137536.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6627115.0	47014.0	99.0	3.2797804307328824	7042880.0	6905344.0	98.05	137536.0	1.95	SRX15590302_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7042880.0	0.0	20-100	54.0	23.22345469874626	96.07070289427053	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	7202205	2212230	7202205	720220500	36614910	679715090	5.624029029998452	1.0	0.0	0.0		
SRX15590303	7070903.0	193026.0	214.0	148394.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6687929.0	41268.0	72.0	2.729863498339604	7070903.0	6922509.0	97.9	148394.0	2.1	SRX15590303_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7070903.0	0.0	20-100	54.0	23.10638068151928	95.936190328166	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	7262567	2209326	7262567	726256700	40891240	681574136	6.152447750223853	0.5	0.0	0.5		
