Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRX15590308	SRX15590308_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7000688.0	0.0	20-100	54.0	22.535003328449633	95.96638330404097	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX15590309	SRX15590309_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6701834.0	0.0	20-100	54.0	22.485466860418406	95.98155788400608	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX15590310	SRX15590310_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6882776.0	0.0	20-100	54.0	26.029689451356408	95.96431962917288	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX15590311	SRX15590311_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7580689.0	0.0	20-100	53.0	22.894782623487338	96.14744095160744	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15590312	SRX15590312_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8609673.0	0.0	20-100	53.0	20.013081964683636	96.11968816934163	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15590313	SRX15590313_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7738940.0	0.0	20-100	54.0	22.73867022550939	96.0470141905739	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15590314	SRX15590314_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7392133.0	0.0	20-100	53.0	21.387862398989522	96.0783505924474	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15590315	SRX15590315_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7767436.0	0.0	20-100	54.0	22.34672652487981	96.0400142337832	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	
SRX15590316	SRX15590316_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6527666.0	0.0	20-100	54.0	25.84023157031646	96.06317878396352	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	
SRX15590317	SRX15590317_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7116554.0	0.0	20-100	52.0	19.8638775685152	96.2724357884448	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15590318	SRX15590318_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6948799.0	0.0	20-100	51.0	17.621795841332773	96.39092338114831	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15590319	SRX15590319_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6930838.0	0.0	20-100	51.0	19.769824078601097	96.38104108045809	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15630037	SRX15630037_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3852396.0	0.0	20-150	53.0	12.708183061352226	148.92960770388092	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15630038	SRX15630038_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3987136.0	0.0	20-150	53.0	12.78718465425999	149.00452154127674	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15630039	SRX15630039_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3815161.0	0.0	20-150	51.0	12.79985989596689	149.01248911906995	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	
SRX15630040	SRX15630040_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4347008.0	0.0	20-150	51.0	12.721281897122472	148.9492637234622	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	
SRX15630041	SRX15630041_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3861229.0	0.0	20-150	53.0	15.065863983970242	148.85972471459218	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15630042	SRX15630042_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3905971.0	0.0	20-150	51.0	15.605169803318688	148.30834253505722	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	
SRX15630043	SRX15630043_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4433424.0	0.0	20-150	51.0	13.384003363796243	149.04484366936256	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	
