Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRX259789	SRX259789_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15400005.0	0.0	20-101	54.0	13.613202563535182	94.27800887077635	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX259790	SRX259790_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9211244.0	0.0	20-101	55.0	30.88628417859728	94.27889522848379	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass	warn
SRX259791	SRX259791_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29256025.0	0.0	20-101	55.0	25.14135440131805	93.97371071428877	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX259792	SRX259792_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12823449.0	0.0	20-101	54.0	28.60723951694762	90.83664714539746	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	warn
SRX259793	SRX259793_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15585581.0	0.0	20-101	55.0	28.562045608599533	92.87415836470902	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass	warn
SRX3159653	SRX3159653_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14902248.0	0.0	20-50	54.0	11.927025706908644	49.32799642040583	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3159654	SRX3159654_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18764116.0	0.0	20-50	54.0	12.083591053642118	49.396243500093476	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3159655	SRX3159655_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16619909.0	0.0	20-50	55.0	11.563814628715816	49.325150576937574	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3159656	SRX3159656_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10815927.0	0.0	20-50	54.0	13.631328302265592	49.32053840600071	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3159657	SRX3159657_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12280934.0	0.0	20-50	55.0	14.599466894586275	49.370700632378615	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3159658	SRX3159658_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13841871.0	0.0	20-50	55.0	12.247305319131925	49.28721500149799	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3159659	SRX3159659_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16918006.0	0.0	20-50	55.0	12.247644729379727	49.252934477029974	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3159660	SRX3159660_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16578507.0	0.0	20-50	55.0	9.530579548224445	49.43494773081798	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3159661	SRX3159661_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18088638.0	0.0	20-50	54.0	9.240557882052245	49.46886393547154	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3159662	SRX3159662_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21216943.0	0.0	20-50	54.0	7.83543311342222	49.51879684080784	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3159663	SRX3159663_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17112856.0	0.0	20-50	54.0	9.143083149194672	49.49291988432556	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3159664	SRX3159664_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19430842.0	0.0	20-50	54.0	7.957956271322546	49.48001301230281	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3159665	SRX3159665_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16013940.0	0.0	20-50	55.0	9.830558987146171	49.49088693975374	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3159666	SRX3159666_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17256524.0	0.0	20-50	54.0	7.81598860574703	49.533707599514244	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3159667	SRX3159667_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13317165.0	0.0	20-50	55.0	10.565124585315182	49.538479623853874	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3159668	SRX3159668_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16996035.0	0.0	20-50	55.0	9.72473070811886	49.450512957875176	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3172761	SRX3172761_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9588489.0	0.0	20-50	52.0	8.604887360631345	49.24085359017464	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3172762	SRX3172762_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13274502.0	0.0	20-50	52.0	6.098200827161501	49.19374459395915	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3172763	SRX3172763_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15077901.0	0.0	20-50	51.0	5.876631612197191	49.32543694244975	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3172764	SRX3172764_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16876445.0	0.0	20-50	53.0	5.578933855323911	49.15791518889198	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3172765	SRX3172765_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14017168.0	0.0	20-50	53.0	8.582184387249905	49.32496507140387	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3172766	SRX3172766_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13088071.0	0.0	20-50	52.0	6.7412713731448495	49.24070896314667	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176780	SRX3176780_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16694501.0	0.0	20-50	52.0	8.98740913310522	49.5146230486314	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRX3176781	SRX3176781_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15204811.0	0.0	20-50	52.0	8.285557436946375	49.51985322277271	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRX3176782	SRX3176782_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10889117.0	0.0	20-50	51.0	9.14386820969684	49.513023875122286	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRX3176783	SRX3176783_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17134418.0	0.0	20-50	50.0	6.312855372443726	49.51748830920315	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRX3176784	SRX3176784_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14657620.0	0.0	20-50	49.0	6.927465879987437	49.533087363432806	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRX3176785	SRX3176785_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16883125.0	0.0	20-50	49.0	5.941654486353961	49.52202444748825	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRX3176786	SRX3176786_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12593236.0	0.0	20-50	48.0	7.0172291139590515	49.533079980395826	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail
SRX3176787	SRX3176787_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12281423.0	0.0	20-50	47.0	5.49181751141721	49.52676005052509	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail
SRX3176788	SRX3176788_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15362469.0	0.0	20-50	47.0	4.522660486178343	49.5158832216358	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail
SRX3176789	SRX3176789_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10859474.0	0.0	20-50	54.0	13.541056336401743	49.534506091179004	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3176790	SRX3176790_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15696999.0	0.0	20-50	54.0	10.458668007074305	49.534916706053174	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3176791	SRX3176791_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11596281.0	0.0	20-50	54.0	11.578704621704732	49.38959533664284	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3176792	SRX3176792_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10009855.0	0.0	20-50	54.0	12.802629743364506	49.46768449692828	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3176793	SRX3176793_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13687696.0	0.0	20-50	53.0	11.056965061071242	49.4685033916592	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176794	SRX3176794_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17633163.0	0.0	20-50	53.0	10.134927529249937	49.52003131826094	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176795	SRX3176795_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13883075.0	0.0	20-50	52.0	9.903595153366613	49.52315067087083	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176796	SRX3176796_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21458195.0	0.0	20-50	51.0	5.780191447437147	49.5020827241061	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX3176797	SRX3176797_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15359038.0	0.0	20-50	52.0	6.118114480204317	49.52954293100909	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3176798	SRX3176798_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9019509.0	0.0	20-50	54.0	15.203595693072291	49.43779179110526	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176799	SRX3176799_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8266995.0	0.0	20-50	53.0	13.597602180326051	49.41866204104394	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176800	SRX3176800_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9224575.0	0.0	20-50	52.0	11.731836992640133	49.45139488811137	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176801	SRX3176801_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9001492.0	0.0	20-50	52.0	7.610611136101447	49.17321883972124	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176802	SRX3176802_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7641957.0	0.0	20-50	50.0	7.427312950369007	49.31472330974906	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176803	SRX3176803_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7918176.0	0.0	20-50	50.0	9.881704139419883	49.454534099772474	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176804	SRX3176804_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11926316.0	0.0	20-50	48.0	5.1215425389613625	49.311598317535775	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176805	SRX3176805_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10626721.0	0.0	20-50	48.0	6.844912749211421	49.36450434710763	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
SRX3176806	SRX3176806_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7886297.0	0.0	20-50	51.0	7.177432302924908	49.34931806397857	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3176807	SRX3176807_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10405590.0	0.0	20-50	55.0	10.453621603751968	49.22952316975779	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3176808	SRX3176808_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12686501.0	0.0	20-50	55.0	9.51695429778968	49.22669796817893	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3176809	SRX3176809_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11361991.0	0.0	20-50	54.0	10.34862779087151	49.25017560742655	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3176810	SRX3176810_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21703928.0	0.0	20-50	53.0	6.750226170365642	49.27926428801275	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3176811	SRX3176811_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13605240.0	0.0	20-50	54.0	8.419856036444713	49.18747835392834	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3176812	SRX3176812_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22896262.0	0.0	20-50	53.0	6.663758461286524	49.26199180460112	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3176813	SRX3176813_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12565286.0	0.0	20-50	53.0	7.519101376977254	49.25088652976144	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3176814	SRX3176814_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12416529.0	0.0	20-50	52.0	5.027687117130251	49.29859399514953	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3176815	SRX3176815_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13725564.0	0.0	20-50	49.0	3.988350229047235	49.3357609931366	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX3211301	SRX3211301_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7889271.0	0.0	20-50	56.0	18.389992300556944	49.56284896285094	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211302	SRX3211302_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8378625.0	0.0	20-50	55.0	4.743028491792267	49.494067224634115	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211303	SRX3211303_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7989637.0	0.0	20-50	55.0	16.459231928671564	49.54713787372317	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211304	SRX3211304_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8899792.0	0.0	20-50	55.0	4.260008861524335	49.56092097433288	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3211305	SRX3211305_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10541745.0	0.0	20-50	56.0	10.623286448473547	49.58167134568328	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211306	SRX3211306_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7701446.0	0.0	20-50	55.0	4.769776971424023	49.51676100825741	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3211307	SRX3211307_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10507491.0	0.0	20-50	55.0	14.24551875064812	49.558787820993615	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211308	SRX3211308_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9064096.0	0.0	20-50	54.0	3.670073024127757	49.49245550797344	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3211309	SRX3211309_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9115850.0	0.0	20-50	55.0	15.763479337092006	49.536751372609245	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211310	SRX3211310_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7478543.0	0.0	20-50	55.0	5.3667642872840755	49.47118215406397	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211311	SRX3211311_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9901118.0	0.0	20-50	55.0	14.20710382609588	49.55016029502931	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211312	SRX3211312_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7595203.0	0.0	20-50	55.0	4.846595940189253	49.49260316017887	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3211313	SRX3211313_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9425027.0	0.0	20-50	55.0	14.046404919009706	49.55137815520316	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211314	SRX3211314_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9442261.0	0.0	20-50	54.0	4.1982319284458915	49.47191536010284	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3211315	SRX3211315_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11492940.0	0.0	20-50	55.0	12.275977009872879	49.55484088492587	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211316	SRX3211316_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10849204.0	0.0	20-50	54.0	3.6188266394501714	49.446776371796496	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3211317	SRX3211317_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12832533.0	0.0	20-50	55.0	13.206541543919146	49.55373362375145	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211318	SRX3211318_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9978101.0	0.0	20-50	55.0	4.040706110489582	49.48861862592892	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211319	SRX3211319_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13206338.0	0.0	20-50	56.0	7.30107842503579	49.57029079522272	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211320	SRX3211320_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9128765.0	0.0	20-50	55.0	4.135619311292516	49.436761380099064	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX3211321	SRX3211321_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7472343.0	0.0	20-50	55.0	20.535024063032054	49.56560198053007	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211322	SRX3211322_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10983690.0	0.0	20-50	55.0	3.574086827930914	49.505256794392416	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211323	SRX3211323_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5846676.0	0.0	20-50	56.0	20.411803288556204	49.56616426153938	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211324	SRX3211324_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4354764.0	0.0	20-50	56.0	7.156989850322204	49.51673202038044	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211325	SRX3211325_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6166001.0	0.0	20-50	56.0	20.892849888482345	49.56156169938993	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211326	SRX3211326_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9267008.0	0.0	20-50	56.0	3.6155036450632694	49.46831091545405	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211327	SRX3211327_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7529042.0	0.0	20-50	56.0	17.191307740168597	49.559207267006876	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211328	SRX3211328_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8392149.0	0.0	20-50	55.0	2.727876735552311	49.56928648430813	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211329	SRX3211329_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6181510.0	0.0	20-50	55.0	19.794018378614783	49.55896180706656	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211330	SRX3211330_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5314794.0	0.0	20-50	55.0	6.407019833967665	49.522663531267625	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211331	SRX3211331_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6043883.0	0.0	20-50	55.0	20.835874071588208	49.5543512341321	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211332	SRX3211332_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7629023.0	0.0	20-50	55.0	3.8855091354587623	49.51843506042648	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX3211333	SRX3211333_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6405583.0	0.0	20-50	55.0	20.16958845849361	49.55268287055214	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211334	SRX3211334_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8135311.0	0.0	20-50	53.0	3.6378626163530874	49.455921353221775	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211335	SRX3211335_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7031448.0	0.0	20-50	53.0	16.379533337331235	49.53323440634134	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn
SRX3211336	SRX3211336_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6661889.0	0.0	20-50	54.0	5.680536467011852	49.48053277381235	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3211337	SRX3211337_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7188130.0	0.0	20-50	55.0	18.6440518244321	49.55384098506844	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211338	SRX3211338_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9709258.0	0.0	20-50	55.0	4.539829977412024	49.543384468720475	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX3211339	SRX3211339_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8585396.0	0.0	20-50	56.0	18.493199186805914	49.55991022429251	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211340	SRX3211340_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8505634.0	0.0	20-50	56.0	5.390555519579997	49.506841582884945	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211341	SRX3211341_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9584698.0	0.0	20-50	56.0	17.347333223425476	49.56159401162144	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211342	SRX3211342_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8231026.0	0.0	20-50	56.0	5.68326823444626	49.52166084762702	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211343	SRX3211343_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9277153.0	0.0	20-50	54.0	3.6791339201556097	49.51653131084504	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211344	SRX3211344_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5245434.0	0.0	20-50	55.0	20.533164885652372	49.526547279024	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211345	SRX3211345_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8922455.0	0.0	20-50	55.0	4.84235151263747	49.517017457639184	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211346	SRX3211346_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8776769.0	0.0	20-50	55.0	17.001775666196636	49.547284997474584	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211347	SRX3211347_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8005651.0	0.0	20-50	55.0	3.71855178957999	49.564010347191	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211348	SRX3211348_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8491400.0	0.0	20-50	56.0	18.886011790124165	49.561678404032314	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211349	SRX3211349_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10505257.0	0.0	20-50	54.0	3.26838092798531	49.53801082638911	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211350	SRX3211350_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7922927.0	0.0	20-50	55.0	16.380968798146085	49.55420073919651	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211351	SRX3211351_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7122937.0	0.0	20-50	55.0	3.536910635860065	49.54199314131235	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211352	SRX3211352_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7337409.0	0.0	20-50	54.0	15.783071274210652	49.54688119471056	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn
SRX3211353	SRX3211353_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8575045.0	0.0	20-50	54.0	4.511434009545879	49.491050600900635	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211354	SRX3211354_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7362443.0	0.0	20-50	54.0	17.321666355280442	49.53350212694346	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211355	SRX3211355_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7604401.0	0.0	20-50	55.0	5.478911186514819	49.4990387803063	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3211356	SRX3211356_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6412926.0	0.0	20-50	55.0	24.235704849291505	49.54041945907375	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3211357	SRX3211357_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8328750.0	0.0	20-50	55.0	3.980908301491828	49.507019060483266	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX3211358	SRX3211358_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7950948.0	0.0	20-50	55.0	20.3767457262399	49.556334162919946	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
