Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX2356931	12865353.0	12500857.0	97.17	364496.0	2.83
SRX2356932	13789883.0	13454374.0	97.57	335509.0	2.43
SRX2356933	16297408.0	15926056.0	97.72	371352.0	2.28
SRX2356934	15464914.0	15093985.0	97.6	370929.0	2.4
SRX2356935	10715395.0	10396458.0	97.02	318937.0	2.98
SRX259777	36164634.0	34230128.0	94.65	1934506.0	5.35
SRX259778	24359231.0	23044449.0	94.6	1314782.0	5.4
SRX259779	26006755.0	24822306.0	95.45	1184449.0	4.55
SRX259780	28488625.0	27024600.0	94.86	1464025.0	5.14
SRX259781	14784598.0	14004497.0	94.72	780101.0	5.28
SRX259782	14645289.0	13904671.0	94.94	740618.0	5.06
SRX259783	27350230.0	25938458.0	94.84	1411772.0	5.16
SRX259784	18909243.0	17778624.0	94.02	1130619.0	5.98
SRX259785	23295119.0	21865829.0	93.86	1429290.0	6.14
SRX259786	61005765.0	57324690.0	93.97	3681075.0	6.03
SRX259787	40375154.0	37686082.0	93.34	2689072.0	6.66
SRX259788	51421520.0	48071630.0	93.49	3349890.0	6.51
SRX259789	15400005.0	14498699.0	94.15	901306.0	5.85
SRX259790	9211244.0	8571200.0	93.05	640044.0	6.95
SRX259791	29256025.0	27312483.0	93.36	1943542.0	6.64
SRX259792	12823449.0	10732440.0	83.69	2091009.0	16.31
SRX259793	15585581.0	13705154.0	87.93	1880427.0	12.07
SRX3159653	14902248.0	13522390.0	90.74	1379858.0	9.26
SRX3159654	18764116.0	16812050.0	89.6	1952066.0	10.4
SRX3159655	16619909.0	15223367.0	91.6	1396542.0	8.4
SRX3159656	10815927.0	9739480.0	90.05	1076447.0	9.95
SRX3159657	12280934.0	11363173.0	92.53	917761.0	7.47
SRX3159658	13841871.0	12948979.0	93.55	892892.0	6.45
SRX3159659	16918006.0	15644402.0	92.47	1273604.0	7.53
SRX3159660	16578507.0	15780142.0	95.18	798365.0	4.82
SRX3159661	18088638.0	13831004.0	76.46	4257634.0	23.54
SRX3159662	21216943.0	18641672.0	87.86	2575271.0	12.14
SRX3159663	17112856.0	14528687.0	84.9	2584169.0	15.1
SRX3159664	19430842.0	15556635.0	80.06	3874207.0	19.94
SRX3159665	16013940.0	14777447.0	92.28	1236493.0	7.72
SRX3159666	17256524.0	14349731.0	83.16	2906793.0	16.84
SRX3159667	13317165.0	12369311.0	92.88	947854.0	7.12
SRX3159668	16996035.0	15448485.0	90.89	1547550.0	9.11
SRX3172761	9588489.0	8495283.0	88.6	1093206.0	11.4
SRX3172762	13274502.0	11924198.0	89.83	1350304.0	10.17
SRX3172763	15077901.0	13329383.0	88.4	1748518.0	11.6
SRX3172764	16876445.0	15462698.0	91.62	1413747.0	8.38
SRX3172765	14017168.0	12859205.0	91.74	1157963.0	8.26
SRX3172766	13088071.0	11698818.0	89.39	1389253.0	10.61
SRX3176780	16694501.0	13506673.0	80.9	3187828.0	19.1
SRX3176781	15204811.0	12760238.0	83.92	2444573.0	16.08
SRX3176782	10889117.0	8735292.0	80.22	2153825.0	19.78
SRX3176783	17134418.0	14205506.0	82.91	2928912.0	17.09
SRX3176784	14657620.0	11519176.0	78.59	3138444.0	21.41
SRX3176785	16883125.0	14476361.0	85.74	2406764.0	14.26
SRX3176786	12593236.0	10432264.0	82.84	2160972.0	17.16
SRX3176787	12281423.0	10293134.0	83.81	1988289.0	16.19
SRX3176788	15362469.0	12963675.0	84.39	2398794.0	15.61
SRX3176789	10859474.0	9803890.0	90.28	1055584.0	9.72
SRX3176790	15696999.0	14281466.0	90.98	1415533.0	9.02
SRX3176791	11596281.0	10604651.0	91.45	991630.0	8.55
SRX3176792	10009855.0	8993875.0	89.85	1015980.0	10.15
SRX3176793	13687696.0	11908533.0	87.0	1779163.0	13.0
SRX3176794	17633163.0	15980515.0	90.63	1652648.0	9.37
