Sample	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: Fragment Length	Unassigned: No Features	Unassigned: Overlapping Length	Unassigned: Ambiguity
SRX2356931	210690.0	11487470.0	364496.0	0.0	788445.0	14149.0	103.0
SRX2356932	218194.0	12208506.0	335509.0	0.0	1012858.0	14725.0	91.0
SRX2356933	910662.0	14389850.0	371352.0	0.0	579085.0	45923.0	536.0
SRX2356934	1094758.0	13400854.0	370929.0	0.0	536271.0	61459.0	643.0
SRX2356935	782852.0	9220964.0	318937.0	0.0	342492.0	49739.0	411.0
SRX259777	28335601.0	3047599.0	1934506.0	0.0	1814386.0	1004704.0	27838.0
SRX259778	17885670.0	3055343.0	1314782.0	0.0	1423300.0	660733.0	19403.0
SRX259779	13896642.0	9087625.0	1184449.0	0.0	1275352.0	547245.0	15442.0
SRX259780	18792685.0	5991444.0	1464025.0	0.0	1548398.0	672680.0	19393.0
SRX259781	8696705.0	4301368.0	780101.0	0.0	680576.0	317259.0	8589.0
SRX259782	8826789.0	4003168.0	740618.0	0.0	755090.0	310338.0	9286.0
SRX259783	11878439.0	12561433.0	1411772.0	0.0	1090962.0	394370.0	13254.0
SRX259784	12083541.0	4413663.0	1130619.0	0.0	854558.0	412221.0	14641.0
SRX259785	5836089.0	15094306.0	1429290.0	0.0	726837.0	202277.0	6320.0
SRX259786	32586663.0	20757253.0	3681075.0	0.0	2741302.0	1202592.0	36880.0
SRX259787	28660873.0	6142453.0	2689072.0	0.0	1805840.0	1045889.0	31027.0
SRX259788	26707113.0	18109774.0	3349890.0	0.0	2295123.0	929569.0	30051.0
SRX259789	480662.0	13823291.0	901306.0	0.0	171926.0	22175.0	645.0
SRX259790	3796838.0	4234397.0	640044.0	0.0	389600.0	145730.0	4635.0
SRX259791	15338421.0	10189371.0	1943542.0	0.0	1207514.0	559400.0	17777.0
SRX259792	5252736.0	4794328.0	2091009.0	0.0	481572.0	197630.0	6174.0
SRX259793	8243610.0	4419321.0	1880427.0	0.0	713291.0	319153.0	9779.0
SRX3159653	8074194.0	800887.0	1379858.0	0.0	4138652.0	504099.0	4558.0
SRX3159654	10446160.0	956744.0	1952066.0	0.0	4790892.0	611947.0	6307.0
SRX3159655	8326423.0	2580255.0	1396542.0	0.0	3865029.0	445862.0	5798.0
SRX3159656	5766161.0	1054266.0	1076447.0	0.0	2582680.0	332824.0	3549.0
SRX3159657	7765516.0	758629.0	917761.0	0.0	2402768.0	432033.0	4227.0
SRX3159658	8442542.0	1405626.0	892892.0	0.0	2657515.0	438819.0	4477.0
SRX3159659	10097729.0	1621884.0	1273604.0	0.0	3390798.0	527964.0	6027.0
SRX3159660	7033109.0	6443387.0	798365.0	0.0	1932670.0	367323.0	3653.0
SRX3159661	8958478.0	1875465.0	4257634.0	0.0	2489067.0	504121.0	3873.0
SRX3159662	13729351.0	860717.0	2575271.0	0.0	3319128.0	726978.0	5498.0
SRX3159663	10442935.0	989086.0	2584169.0	0.0	2559538.0	532329.0	4799.0
SRX3159664	10591563.0	1686781.0	3874207.0	0.0	2698089.0	575524.0	4678.0
SRX3159665	11363588.0	466838.0	1236493.0	0.0	2337256.0	604442.0	5323.0
SRX3159666	10425035.0	1222007.0	2906793.0	0.0	2148585.0	549971.0	4133.0
SRX3159667	9470122.0	485223.0	947854.0	0.0	1932637.0	477492.0	3837.0
SRX3159668	11442361.0	441158.0	1547550.0	0.0	2933603.0	625954.0	5409.0
SRX3172761	4355296.0	88680.0	1093206.0	0.0	3796425.0	251785.0	3097.0
SRX3172762	5913653.0	149471.0	1350304.0	0.0	5475601.0	381365.0	4108.0
SRX3172763	6182978.0	149053.0	1748518.0	0.0	6595809.0	397897.0	3646.0
SRX3172764	8161509.0	526693.0	1413747.0	0.0	6340173.0	428551.0	5772.0
SRX3172765	6952170.0	742642.0	1157963.0	0.0	4787159.0	372712.0	4522.0
SRX3172766	5634774.0	458719.0	1389253.0	0.0	5268817.0	332633.0	3875.0
SRX3176780	8084999.0	74788.0	3187828.0	0.0	4849212.0	493127.0	4547.0
SRX3176781	7489198.0	58344.0	2444573.0	0.0	4777344.0	431693.0	3659.0
SRX3176782	4919078.0	64332.0	2153825.0	0.0	3459607.0	290200.0	2075.0
SRX3176783	6865130.0	175544.0	2928912.0	0.0	6725963.0	435728.0	3141.0
SRX3176784	4666641.0	91455.0	3138444.0	0.0	6461526.0	297207.0	2347.0
SRX3176785	4590601.0	183969.0	2406764.0	0.0	9416638.0	282753.0	2400.0
SRX3176786	2698519.0	92364.0	2160972.0	0.0	7486909.0	153068.0	1404.0
SRX3176787	2244532.0	109522.0	1988289.0	0.0	7802297.0	135680.0	1103.0
SRX3176788	2419059.0	149909.0	2398794.0	0.0	10236937.0	156310.0	1460.0
SRX3176789	7262438.0	339637.0	1055584.0	0.0	1815492.0	382128.0	4195.0
SRX3176790	10571896.0	523912.0	1415533.0	0.0	2647808.0	531793.0	6057.0
SRX3176791	7476522.0	333647.0	991630.0	0.0	2403041.0	387389.0	4052.0
SRX3176792	6072901.0	304260.0	1015980.0	0.0	2291849.0	321774.0	3091.0
SRX3176793	7544050.0	455412.0	1779163.0	0.0	3499952.0	404955.0	4164.0
SRX3176794	9553680.0	684487.0	1652648.0	0.0	5243283.0	493425.0	5640.0
SRX3176795	6225815.0	1230854.0	1964851.0	0.0	4146010.0	311886.0	3659.0
SRX3176796	7550886.0	2560094.0	3908202.0	0.0	7029813.0	404919.0	4281.0
SRX3176797	1901256.0	2753594.0	7759823.0	0.0	2836675.0	106730.0	960.0
SRX3176798	5247495.0	99811.0	788878.0	0.0	2572281.0	307690.0	3354.0
SRX3176799	4204721.0	162246.0	777967.0	0.0	2867491.0	252215.0	2355.0
SRX3176800	4344947.0	94469.0	779783.0	0.0	3744674.0	258564.0	2138.0
SRX3176801	3346267.0	231061.0	700238.0	0.0	4511795.0	210118.0	2013.0
SRX3176802	2318162.0	134756.0	603635.0	0.0	4434829.0	149218.0	1357.0
SRX3176803	1930810.0	247500.0	613317.0	0.0	5008751.0	116637.0	1161.0
SRX3176804	1874851.0	396587.0	794258.0	0.0	8730061.0	129312.0	1247.0
SRX3176805	2022296.0	140789.0	743734.0	0.0	7585630.0	132956.0	1316.0
SRX3176806	932174.0	2865484.0	347165.0	0.0	3675038.0	65841.0	595.0
SRX3176807	7290685.0	171612.0	522425.0	0.0	2012167.0	404400.0	4301.0
SRX3176808	8624677.0	192392.0	699574.0	0.0	2678572.0	486563.0	4723.0
SRX3176809	7608530.0	160167.0	668655.0	0.0	2499424.0	421430.0	3785.0
SRX3176810	12588691.0	794313.0	1759212.0	0.0	5860404.0	693804.0	7504.0
SRX3176811	7999970.0	266932.0	792788.0	0.0	4139975.0	400097.0	5478.0
SRX3176812	12370029.0	606235.0	1586608.0	0.0	7744150.0	579683.0	9557.0
