Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX1655391	2.6	30000000	6592348	30000000	30000000	1358177	22049475	26.50175
SRX1655392	2.6	30000000	6565823	30000000	30000000	1402144	22032033	26.559890000000003
SRX1655393	2.6	27491888	6093948	27491888	27491888	1391374	20006566	27.227384310601003
SRX1655394	2.6	34007799	7745618	34007799	34007799	1476015	24786166	27.116230015356184
SRX17839586	2.6	14823370	6611918	14823370	2223505500	1585156	2166776927	2.5513124658337927
SRX17839587	2.6	18105300	8096098	18105300	2715795000	94500	2657368473	2.1513599885116514
SRX17839588	2.6	13794681	6831996	13794681	2069202150	79350	2007705581	2.971994253920527
SRX17839589	2.6	18543505	8127078	18543505	2781525750	110400	2724153353	2.0626232563189464
SRX17839590	2.6	21268833	9248958	21268833	3190324950	2203210	3111415262	2.473405977030647
SRX17839591	2.6	19603138	8212386	19603138	2940470700	89700	2875843777	2.197842780749354
SRX18913104	2.6	9618997	5372358	9618997	1442849550	2039456	1320247852	8.497192101560417
SRX18913105	2.6	11029435	6282146	11029435	1654415250	2793548	1514092851	8.481691582569733
SRX18913106	2.6	8872721	5266406	8872721	1330908150	1693183	1197630364	10.01404837741808
SRX18913107	2.6	9463197	4973721	9463197	1419479550	1862914	1307871132	7.862629510935893
SRX18913108	2.6	10178332	5489145	10178332	1526749800	1835746	1406052842	7.9054837930877735
SRX18913109	2.6	11553250	5971333	11553250	1732987500	2752329	1610340240	7.077215502131434
SRX18913110	2.6	8619952	4649244	8619952	1292992800	4644028	1192879086	7.742789751033416
SRX18913111	2.6	8911501	4827054	8911501	1336725150	1661302	1227776710	8.15039950434089
SRX18913112	2.6	11097865	6016024	11097865	1664679750	1992875	1530508748	8.059868692461718
SRX18913113	2.6	9649097	4922795	9649097	1447364550	1419161	1355852044	6.322699143073526
SRX18913114	2.6	9729739	4749872	9729739	1459460850	3027558	1377774143	5.597046813554471
SRX18913115	2.6	9797724	5044921	9797724	1469658600	1952758	1369961071	6.783720314364166
SRX2356912	2.6	10298512	2239647	10298512	514925600	1679896	510200575	0.9176131464429036
SRX2356913	2.6	8726787	1886495	8726787	436339350	1415078	432101274	0.9712798077918025
SRX2356914	2.6	9922316	2125687	9922316	496115800	1559706	491444906	0.9414926918271903
SRX2356915	2.6	11638212	2444040	11638212	581910600	1853519	576754529	0.8860589581973588
SRX2356916	2.6	8493090	1817167	8493090	424654500	1351128	420593304	0.9563529881350603
SRX2356917	2.6	10900565	2343140	10900565	545028250	1759553	539975549	0.927053047250303
SRX2356918	2.6	10419250	2310798	10419250	520962500	1660139	515949972	0.9621667586438563
SRX2356919	2.6	18382592	3990385	18382592	919129600	2859581	911002241	0.8842451597685463
SRX2356920	2.6	13544128	3172770	13544128	677206400	2100382	670592078	0.9767069537440874
SRX2356921	2.6	9558398	2360160	9558398	477919900	1817635	470527855	1.5467121164027697
SRX2356922	2.6	12383206	2965171	12383206	619160300	2195825	611963497	1.1623489102902755
SRX2356923	2.6	11502466	2609449	11502466	575123300	1928335	569481611	0.9809529539144041
SRX2356924	2.6	11375156	2602147	11375156	568757800	2375925	562221885	1.1491561082766688
SRX2356925	2.6	11218501	2483261	11218501	560925050	2334174	555028040	1.0513008823549599
SRX2356926	2.6	14299063	3297072	14299063	714953150	2908389	706306409	1.2094136517896312
SRX2356927	2.6	11509315	2544046	11509315	575465750	2415276	569183136	1.0917442089298972
SRX2356928	2.6	13139020	2969832	13139020	656951000	2613055	649945616	1.0663480229119067
SRX2356929	2.6	15189499	3389237	15189499	759474950	3027373	751784724	1.0125713823740994
