Sample	Unique Reads	Duplicate Reads
SRX3176809	1175811.0	10186180.0
SRX3176810	1465065.0	20238863.0
SRX3176811	1145542.0	12459698.0
SRX3176812	1525752.0	21370510.0
SRX3176813	944797.0	11620489.0
SRX3176814	624265.0	11792264.0
SRX3176815	547424.0	13178140.0
SRX3211301	1450837.0	6438434.0
SRX3211302	397401.0	7981224.0
SRX3211303	1315033.0	6674604.0
SRX3211304	379132.0	8520660.0
SRX3211305	1119880.0	9421865.0
SRX3211306	367342.0	7334104.0
SRX3211307	1496847.0	9010644.0
SRX3211308	332659.0	8731437.0
SRX3211309	1436976.0	7678874.0
SRX3211310	401356.0	7077187.0
SRX3211311	1406663.0	8494455.0
SRX3211312	368109.0	7227094.0
SRX3211313	1323878.0	8101149.0
SRX3211314	396409.0	9045852.0
SRX3211315	1410871.0	10082069.0
SRX3211316	392614.0	10456590.0
SRX3211317	1694734.0	11137799.0
SRX3211318	403186.0	9574915.0
SRX3211319	964206.0	12242132.0
SRX3211320	377531.0	8751234.0
SRX3211321	1534448.0	5937895.0
SRX3211322	392567.0	10591123.0
SRX3211323	1193413.0	4653263.0
SRX3211324	311671.0	4043093.0
SRX3211325	1288254.0	4877747.0
SRX3211326	335050.0	8931958.0
SRX3211327	1294341.0	6234701.0
SRX3211328	228928.0	8163221.0
SRX3211329	1223570.0	4957940.0
SRX3211330	340520.0	4974274.0
SRX3211331	1259296.0	4784587.0
SRX3211332	296427.0	7332596.0
SRX3211333	1291980.0	5113603.0
SRX3211334	295952.0	7839359.0
SRX3211335	1151719.0	5879729.0
SRX3211336	378432.0	6283457.0
SRX3211337	1340159.0	5847971.0
SRX3211338	440784.0	9268474.0
SRX3211339	1587715.0	6997681.0
SRX3211340	458501.0	8047133.0
SRX3211341	1662690.0	7922008.0
SRX3211342	467792.0	7763234.0
SRX3211343	341319.0	8935834.0
SRX3211344	1077054.0	4168380.0
SRX3211345	432057.0	8490398.0
SRX3211346	1492207.0	7284562.0
SRX3211347	297695.0	7707956.0
SRX3211348	1603687.0	6887713.0
SRX3211349	343352.0	10161905.0
SRX3211350	1297853.0	6625074.0
SRX3211351	251932.0	6871005.0
SRX3211352	1158069.0	6179340.0
SRX3211353	386858.0	8188187.0
SRX3211354	1275298.0	6087145.0
SRX3211355	416639.0	7187762.0
SRX3211356	1554218.0	4858708.0
SRX3211357	331560.0	7997190.0
SRX3211358	1620145.0	6330803.0
SRX3211359	378132.0	9118548.0
SRX3211360	1476806.0	6756251.0
SRX3312459	1600187.0	10259613.0
SRX3312460	1431438.0	10084475.0
SRX3312461	1374639.0	12362371.0
SRX3312462	1413744.0	11533256.0
SRX3312463	1390076.0	11866827.0
SRX3312464	1418352.0	15716246.0
SRX3312465	1442081.0	10260414.0
SRX3312466	1040542.0	8292113.0
SRX3312467	1082595.0	10965883.0
SRX3312468	1327575.0	9430708.0
SRX3312469	1523014.0	11076800.0
SRX3312470	1770893.0	24023416.0
SRX3312471	1558161.0	15617444.0
SRX3312472	1641209.0	15822618.0
SRX3312473	1575028.0	12582920.0
SRX3312474	949283.0	10642379.0
SRX3312475	1009237.0	12395675.0
SRX3312476	774822.0	10568437.0
SRX3312477	955483.0	4723762.0
SRX3312478	1042264.0	6261586.0
SRX3312479	1151724.0	7440535.0
SRX3312480	749251.0	8034996.0
SRX3312481	1395331.0	8511270.0
SRX3312482	843562.0	6111109.0
SRX3312483	962675.0	8261934.0
SRX3312484	1084974.0	8391881.0
SRX3312485	1242468.0	9903149.0
SRX3312486	1065971.0	9028670.0
SRX3312487	1222429.0	7149389.0
SRX3312488	1007789.0	8900447.0
SRX3312489	847708.0	7053779.0
SRX3312490	888906.0	8386522.0
SRX3312491	582136.0	2818295.0
SRX3312492	1615099.0	21290414.0
SRX3312493	794498.0	9688962.0
SRX3312494	498736.0	5655096.0
SRX359366	641407.0	13017725.0
SRX359367	537968.0	11479370.0
SRX359368	539965.0	11393809.0
SRX359369	642604.0	13558697.0
SRX359370	586255.0	10869115.0
SRX359371	583951.0	11588558.0
SRX359372	398369.0	9186904.0
SRX359373	449095.0	11141436.0
SRX359374	480092.0	12175700.0
